groups 	 quantile  	 silhouette 	 dunn 	 davis 	 vrc 
5		0.25 	 -0.287694671831 	 0.298021677802 	 4.95969027444 	 2486.60059921
135		0.01 	 -0.792168243257 	 nan 	 nan 	 1139.23341741
63		0.02 	 -0.757823794913 	 nan 	 nan 	 1273.34182012
38		0.03 	 -0.692630953182 	 nan 	 nan 	 1199.03605151
24		0.04 	 -0.651409802706 	 nan 	 nan 	 1412.15835973
16		0.05 	 -0.471733948443 	 0.0809830498591 	 12.5615381221 	 1326.73298089
14		0.06 	 -0.356155331694 	 0.0953741208798 	 10.674293629 	 1425.39279688
11		0.07 	 -0.305988214585 	 0.113347173554 	 9.70523525005 	 1544.2780768
8		0.08 	 -0.294198198412 	 0.116439874118 	 9.81109001347 	 1894.57847833
7		0.09 	 -0.275465510629 	 0.10964082802 	 8.69521110457 	 1974.60816977
8		0.1 	 -0.284388047566 	 0.11905872859 	 9.42249745261 	 1734.37958393
7		0.11 	 -0.274413456161 	 0.136776998986 	 7.59561263643 	 1975.1113764
6		0.12 	 -0.276431448942 	 0.17601336464 	 5.93876053881 	 2229.93675933
5		0.13 	 -0.268332154727 	 0.313345617366 	 4.63496851441 	 2674.43725964
5		0.14 	 -0.26846267642 	 0.306208724586 	 4.69464621289 	 2669.3594784
5		0.15 	 -0.269028446389 	 0.328102535557 	 4.53322275854 	 2680.278022
5		0.16 	 -0.269070319947 	 0.333419901797 	 4.49613182906 	 2672.99649801
5		0.17 	 -0.269070319947 	 0.332423028048 	 4.49593517613 	 2673.59254389
5		0.18 	 -0.269070319947 	 0.332800739807 	 4.49133335289 	 2672.51174633
5		0.19 	 -0.279488073607 	 0.329052794273 	 4.5849684555 	 2601.93806312
5		0.2 	 -0.279462506742 	 0.270313200289 	 5.25176427868 	 2540.85005172


*** Final results ****

Silhouette 	-0.268332154727 	 0.13q5g
Dunn 	0.333419901797 	 0.16q5g
Davis  	4.49133335289 	 0.18q5g
vrc 	1139.23341741 	 0.01q135g
