snid 	 epoch 	 seed1 	 seed2 	 seed50 	 seed100 	 seed1000 	 seed5000 	 
sn2007af 	 -1.250 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2001fe 	 -0.990 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1999aa 	 0.240 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2006S 	 2.990 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2002de 	 -0.320 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2006sr 	 2.690 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2008Z 	 -2.290 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2007ba 	 2.140 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2005na 	 1.030 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1999da 	 -2.120 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2001ex 	 -1.820 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2007A 	 2.370 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2006N 	 -0.900 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2002ha 	 -0.850 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2006N 	 -1.890 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2003U 	 -2.550 	 1.0 	 0.0 	 0.0 	 1.0 	 0.0 	 1.0 	 
sn2003cq 	 -0.150 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2002aw 	 2.100 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2005ki 	 1.620 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2007ci 	 -1.710 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2000cp 	 2.920 	 1.0 	 1.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn2005el 	 1.220 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn1995E 	 -2.460 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2008ar 	 2.830 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn2003Y 	 -1.740 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2002bo 	 -1.080 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1994S 	 1.110 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2001cp 	 1.390 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2007bz 	 1.650 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn1999dq 	 2.970 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2006cz 	 1.120 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn1991bg 	 0.140 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn1998es 	 0.280 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2005na 	 0.030 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2000cx 	 0.890 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2001ep 	 2.830 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2005cf 	 -2.110 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2006bz 	 -2.440 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2000dk 	 1.000 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 1.0 	 
sn2002cf 	 -0.750 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2001da 	 -1.120 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2006bt 	 2.270 	 0.0 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 
sn2007bc 	 0.610 	 0.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
sn1998dk 	 -0.540 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2006cm 	 -1.150 	 1.0 	 1.0 	 1.0 	 0.0 	 1.0 	 1.0 	 
sn2007hj 	 -1.230 	 1.0 	 1.0 	 0.0 	 1.0 	 0.0 	 1.0 	 
sn2001bf 	 1.220 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 
sn2002cd 	 1.100 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 1.0 	 
sn2006cq 	 2.000 	 1.0 	 0.0 	 1.0 	 0.0 	 0.0 	 1.0 	 
