comp 	 groups 	 silhouette 	 dunn 	 davis 	 vrc 
2 	 2 	 -0.000759193486867 	 0.400140637753 	 4.61596139388 	 1921.16133168
2 	 3 	 -0.0303854053607 	 0.39898864675 	 4.51050638995 	 1418.05709346
2 	 4 	 -0.0863652988431 	 0.357055026377 	 4.39202016988 	 1617.73134533
2 	 5 	 -0.0672334516177 	 0.212227105447 	 6.08500979968 	 1615.06161924
2 	 6 	 -0.111278806326 	 0.203315076111 	 6.53032867666 	 1421.76623805
2 	 7 	 -0.103859358691 	 0.197028980572 	 7.49424196355 	 1387.40004993
2 	 8 	 -0.113393504011 	 0.177578869844 	 7.23033482188 	 1554.86657539
2 	 9 	 -0.127270582249 	 0.177043934399 	 7.81722212835 	 1470.27210753
3 	 2 	 -0.000972124174695 	 0.428522807625 	 3.8596953332 	 2287.73821309
3 	 3 	 -0.0231001054082 	 0.399226548765 	 4.182552038 	 1983.37915615
3 	 4 	 -0.0437159878513 	 0.321309712423 	 4.42991573085 	 1767.15887783
3 	 5 	 -0.0498514652333 	 0.277860444097 	 4.96058879378 	 1926.72757226
3 	 6 	 -0.0590832829732 	 0.284485133949 	 4.68425089996 	 1883.3970106
3 	 7 	 -0.0628312583926 	 0.277355255444 	 4.98406912923 	 1838.74702212
3 	 8 	 -0.0736773405949 	 0.259608656364 	 4.7237453532 	 1975.31209899
3 	 9 	 -0.0826182805885 	 0.220437823823 	 5.50645135723 	 1954.64113633
4 	 2 	 0.00610817649239 	 0.469925654956 	 3.61295426396 	 2610.41581482
4 	 3 	 -0.0146462826229 	 0.478181187812 	 3.20547688605 	 2500.35309691
4 	 4 	 -0.0370791847813 	 0.31056969299 	 4.26714111549 	 2157.2052113
4 	 5 	 -0.0436652916681 	 0.34168739775 	 3.709827701 	 2323.60332148
4 	 6 	 -0.0439270928577 	 0.293809369611 	 4.51043248973 	 2355.80393219
4 	 7 	 -0.0541081794404 	 0.287936963133 	 4.40918485539 	 2193.46157861
4 	 8 	 -0.068696364729 	 0.287728457605 	 4.15090234578 	 2366.18611434
4 	 9 	 -0.0789172580461 	 0.211631415725 	 5.09965193841 	 2230.25021553
5 	 2 	 -0.00174657579672 	 0.526283958771 	 3.4311263406 	 2140.17433719
5 	 3 	 -0.0112763727602 	 0.400737021187 	 4.12902732329 	 1868.68522017
5 	 4 	 -0.0365135455613 	 0.429141968183 	 3.89413346122 	 1697.5095978
5 	 5 	 -0.0484004158796 	 0.344622606563 	 4.56350965438 	 1783.18480664
5 	 6 	 -0.0397501902303 	 0.303875210857 	 4.54259821962 	 1788.64035154
5 	 7 	 -0.064525781034 	 0.28473699977 	 4.51874604892 	 1741.85313793
5 	 8 	 -0.0696712171847 	 0.278396069415 	 4.40377751199 	 1979.65319448
5 	 9 	 -0.0817844212119 	 0.276418157701 	 4.58814928187 	 1716.26417509
6 	 2 	 -0.00443865129188 	 0.53134889317 	 3.64718219244 	 2120.2898541
6 	 3 	 -0.0162462763172 	 0.362128426863 	 4.65129052328 	 1858.88704998
6 	 4 	 -0.0237779137362 	 0.352596181452 	 4.83955141843 	 1769.36218553
6 	 5 	 -0.0317831160548 	 0.345239007575 	 4.37684230474 	 1653.71624171
6 	 6 	 -0.0476914076233 	 0.356633146746 	 4.5285864504 	 1595.42372742
6 	 7 	 -0.0529550392837 	 0.35802073561 	 4.23684194636 	 1581.11682305
6 	 8 	 -0.0703344816137 	 0.312048499104 	 4.3720609509 	 1551.54133973
6 	 9 	 -0.0844301365403 	 0.278241486833 	 4.62239622856 	 1580.72378963
7 	 2 	 -0.0177002974753 	 0.693335948624 	 2.84907929214 	 2354.84132301
7 	 3 	 -0.0195621945563 	 0.445868507817 	 3.85255589937 	 1939.21294488
7 	 4 	 -0.0331000608723 	 0.346251280372 	 4.71937355729 	 1722.27160331
7 	 5 	 -0.0289824342185 	 0.28400149703 	 4.82359435135 	 1623.68464546
7 	 6 	 -0.0518516886161 	 0.259792504661 	 4.53628889501 	 1651.53573983
7 	 7 	 -0.0541169709224 	 0.251581204389 	 4.6219649703 	 1753.26435124
7 	 8 	 -0.0652811052186 	 0.2444916881 	 4.97081594046 	 1628.05345399
7 	 9 	 -0.0675069241958 	 0.222758180589 	 4.98556338001 	 1619.80618133
8 	 2 	 -0.000357437668911 	 0.401450977312 	 4.95054558903 	 2256.42450588
8 	 3 	 -0.00747667428347 	 0.4228512633 	 4.42845940063 	 1701.5836946
8 	 4 	 -0.0165802735637 	 0.318784245117 	 5.25399885695 	 1596.61949514
8 	 5 	 -0.0271802561949 	 0.36762163805 	 4.52101010722 	 1602.15032605
8 	 6 	 -0.0379337665494 	 0.369486768127 	 4.34896908977 	 1587.92182577
8 	 7 	 -0.0547680076217 	 0.358557673082 	 4.42591501214 	 1627.53118533
8 	 8 	 -0.0633291912949 	 0.279691522063 	 5.11855052327 	 1639.64012259
8 	 9 	 -0.066589538769 	 0.308098749521 	 4.59485014526 	 1622.81667023
9 	 2 	 0.00277730514229 	 0.570192148144 	 3.48009664211 	 2297.74246017
9 	 3 	 -0.0077513630392 	 0.434107236797 	 4.063191879 	 1892.2086098
9 	 4 	 -0.020327518284 	 0.354064244934 	 4.61704557322 	 1759.76001458
9 	 5 	 -0.0277123519747 	 0.329012806393 	 4.81574654084 	 1781.94336546
9 	 6 	 -0.0305379879143 	 0.322277258471 	 4.77123850711 	 1727.95408236
9 	 7 	 -0.0520066545347 	 0.326199177687 	 4.57914443358 	 1728.88375853
9 	 8 	 -0.0622090233398 	 0.345555566167 	 4.46132003862 	 1710.56905174
