PCS  groups 	silhouette 	     dunn 	            davis 	         vrc 
2 	 2 	        0.481475160899 	 1.323778111 	    1.08796296707 	 2230.46284459
2 	 3 	        0.468118077138 	 1.08147899336 	    1.24902713855 	 3873.05180447
2 	 4 	        0.464673939607 	 0.860023570577 	0.99318578714 	 6495.48304566
2 	 5 	        0.427616595898 	 1.37676062386 	    1.06173864864 	 7799.15956968
2 	 6 	        0.379186522617 	 0.862836616784 	1.28354340001 	 8480.98552659
2 	 7 	        0.356362586399 	 0.973810952162 	1.40551970178 	 9472.73670736
2 	 8 	        0.376118770246 	 1.00448237169 	    1.27641483311 	 10335.3172322
3 	 2 	        0.409309327563 	 1.1075216439 	    1.47098639747 	 1615.22443713
3 	 3 	        0.391302301495 	 0.96321735827 	    1.62944148913 	 2581.55042311
3 	 4 	        0.40433838423 	 1.52992539068 	    1.16090826681 	 3115.03951795
3 	 5 	        0.385547478729 	 1.08240472074 	    1.36162713556 	 4370.22439826
3 	 6 	        0.309053332709 	 0.626953387111 	1.79357862522 	 4737.85207907
3 	 7 	        0.315748124686 	 0.800573585314 	1.77328194631 	 5414.35107512
3 	 8 	        0.302131037711 	 0.795724399494 	1.62354009219 	 5610.33587793
4 	 2 	        0.374764323221 	 1.06594063026 	    1.52705207683 	 1392.59707794
4 	 3 	        0.354179451919 	 0.92056144865 	    1.52917024282 	 2077.03230685
4 	 4 	        0.366750631544 	 1.37023043948 	    1.31804222774 	 2448.32666262
4 	 5 	        0.351769340023 	 0.970670670883 	1.4601579379 	 3228.163121
4 	 6 	        0.35977301828 	 0.803849722849 	1.62685232707 	 3785.37202155
4 	 7 	        0.274439996174 	 0.620049315523 	1.81465179891 	 3898.52576678
4 	 8 	        0.283176531649 	 0.646610488286 	1.71228312093 	 4295.91420194


*** Final results ****

Silhouette 	0.481475160899 	 2PC_2g
Dunn 	1.52992539068 	 3PC_4g
Davis  	0.99318578714 	 2PC_4g
vrc 	1392.59707794 	 4PC_2g
