sn2005cf    MCG-01-39-03
sn1999gp    MCG+06-06-49
sn2001bf    MCG+04-42-22
sn2006mr    NGC1316
sn2007au    UGC3725
sn1999dq    NGC976
sn2001da    NGC7780
sn2003U    NGC6365A
sn1997bp    NGC4680
sn2007ba    UGC9798
sn2000dm    UGC11198
sn1994D    NGC4526
sn2006X    NGC4321
sn1999by    NGC2841
sn1998eg    MCG+01-57-14
sn2006gr    UGC12071
sn2007ai    MCG-04-38-04
sn2003it    UGC40
sn2002jy    NGC477
sn2002cd    NGC6916
sn1998co    NGC7131
sn2006ax    NGC3663
sn1998V    NGC6627
sn2007ca    MCG-02-34-61
sn1999ej    NGC495
sn2001ex    UGC3595
sn2004S    MCG-05-16-21
sn2006ot    ESO544-31
sn2007af    NGC5584
sn2007on    NGC1404
sn1998de    NGC252
sn1998dh    NGC7541
sn2002bo    NGC3190
sn2008fp    ESO428-14
sn2002de    NGC6104
sn2002cr    NGC5468
sn2005A    NGC958
sn1999cl    NGC4501
sn2011fe    NGC5457
sn2001cp    UGC10738
sn2005kc    NGC7311
sn2002he    UGC4322
sn2003W    UGC5234
sn2007co    MCG+05-43-16
sn1996bl    AnonJ003617+1123
sn2006cz    MCG-01-38-02
sn2001N    NGC3327
sn2004at    MCG+10-16-37
sn2000dk    NGC382
sn2000dn    IC1468
sn1991bg    NGC4374
sn1997dt    NGC7448
sn2003hu    AnonJ191131+7753
sn2003gq    NGC7407
sn2001br    UGC11260
sn1998es    NGC632
sn2005M    NGC2930
sn2006gj    UGC2650
sn2006sr    UGC14
sn2006et    NGC232
sn1998dx    UGC11149
sn2001fh    LEDA66592
sn1999da    NGC6411
snf20080522-000    [ATL2005]1967
sn2001ep    NGC1699
sn1998bp    NGC6495
sn1999ee    IC5179
sn2006cq    IC4239
sn2001ay    IC4423
sn2008A    NGC634
sn2006N    MCG+11-08-12
sn2009ad    UGC3236
sn2005na    UGC3634
sn2000dg    MCG+01-01-29
sn1996X    NGC5061
sn2003cg    NGC3169
sn2008R    NGC1200
sn2007kk    UGC2828
sn2006kf    UGC2829
sn2006cm    UGC11723
sn2005am    NGC2811
sn2002hu    MCG+06-06-12
sn2007hj    NGC7461
sn2006os    UGC2384
sn2002er    UGC10743
sn1999ek    UGC3329
sn2004fu    NGC6949
sn2007bd    UGC4455
sn2002ck    UGC10030
sn2002fb    NGC759
sn2009D    MCG-03-10-52
sn2008Q    NGC524
sn2005ke    NGC1371
sn1995E    NGC2441
sn2001eh    UGC1162
sn2007S    UGC5378
sn2005ag    AnonJ145643+0919
sn2002cf    NGC4786
sn2006gz    IC1277
sn2004ef    UGC12158
sn1998bu    NGC3368
sn2007ax    NGC2577
sn1998ef    UGC646
sn2002fk    NGC1309
sn2000fa    UGC3770
sn2009ag    ESO492-2
sn2008gl    UGC881
sn2008bq    ESO308-25
sn1996ai    NGC5005
sn2003iv    MCG+02-08-14
sn1994ae    NGC3370
sn2003ch    UGC3787
sn2007A    NGC105
sn2005el    NGC1819
sn2005bo    NGC4708
