n,identifier,RA_simbad,DEC_simbad,ra_sdss,dec_sdss,distance,objID_DR12,plate,mjd,fiberid
29,NGC4172,183.062104,56.177394,183.062059755068,56.1775340613201,0.00847717195439324,1237657591933501604,1019,52707,340
30,MCG+05-23-37,146.644671,30.653175,146.644760694826,30.6530853647148,0.00719443301119865,1237664835934814390,1946,53432,217
31,NGC7311,338.528167,5.570308,338.528303001087,5.57033035532145,0.00818682075906431,1237669761187643467,,,
32,NGC1371,53.755,-24.93361,,,,,,,
33,NGC3332,160.118117,9.182453,160.118212944122,9.18255335194818,0.00822050002482807,1237658492807610446,1240,52734,548
34,AnonJ094315+3617,145.813975,36.285906,145.813807613258,36.2853807967079,0.0326990028677141,1237661139030901058,1595,52999,352
35,NGC524,21.198779,9.538792,21.1989180012275,9.53876755959396,0.00840026862895669,1237678833223335968,,,
36,NGC1200,45.977004,-11.991853,,,,,,,
37,NGC634,24.577829,35.364853,,,,,,,
38,NGC3982,179.117371,55.125361,179.11724197001,55.1252338201707,0.00888762888060801,1237657590858776636,1018,52672,359
39,NGC5584,215.599213,-0.38745,215.599060114734,-0.387646626480163,0.0149306083804619,1237648704054296626,304,51609,83
40,MCG-04-38-04,243.222321,-21.623347,,,,,,,
41,UGC3725,107.925,49.86189,,,,,,,
42,NGC2577,125.681138,22.553039,125.681038123354,22.5530752044211,0.00588610485901937,1237664837536514213,,,
43,UGC3236,75.888383,6.657386,,,,,,,
44,UGC14,0.895846,23.200817,0.895913879360762,23.2007402626854,0.00593868815046353,1237679478544400465,6879,56539,726
45,NGC3327,159.991454,24.091239,159.991382280813,24.0912411191959,0.00398802429081061,1237667551953879057,2352,53770,6
46,AnonJ012648-0114,21.701913,-1.238125,21.7019111900462,-1.23812378677345,1.73660885569047E-4,1237663782596247735,4229,55501,321
47,UGC272,6.957046,-1.199858,6.95720275583522,-1.19998110797138,0.0119578417057666,1237663782589825148,391,51782,130
48,MCG+00-06-03,29.202067,-0.212617,29.2021139562331,-0.212564825961594,0.00423462516537108,1237663783673331885,3606,55182,34
49,NGC232,10.690892,-23.561303,,,,,,,
50,UGC2829,55.461996,8.159847,55.4619014012349,8.15981834487718,0.00577651840056547,1237673326537932867,,,
51,NGC7131,326.90045,-13.182692,,,,,,,
52,NGC1404,54.716321,-35.594392,,,,,,,
53,UGC4455,127.887,-1.197667,127.887010049122,-1.19780673718741,0.00840147956192564,1237650794601382107,,,
54,UGC9798,229.174254,7.397003,229.174227346066,7.39691551851881,0.00551733769632848,1237662263786078350,,,
55,UGC6332,169.819383,20.813575,169.81923664097,20.8135518919185,0.00826125040376091,1237667733965766727,2496,54178,291
56,IC3918,194.223113,22.373739,194.223101599867,22.3736032236226,0.00819014815100412,1237667782838452274,2649,54212,559
57,MCG+02-08-14,42.536838,12.843694,,,,,,,
58,NGC3368,161.6906,11.819939,,,,,,,
59,MCG-05-16-21,101.444579,-31.230361,,,,,,,
60,MCG+03-22-20,129.599333,17.6313,129.59935169506,17.6313275910748,0.00192056176206709,1237667253456339010,2276,53712,602
61,NGC4501,187.996733,14.420411,,,,,,,
62,NGC6038,240.668975,37.359414,240.668959038295,37.3594911348537,0.00474730375671779,1237662302981324864,1682,53173,529
63,NGC4495,187.845446,29.136369,187.845338491584,29.1364865101288,0.00891808890279414,1237665440976207963,2234,53823,164
64,AnonJ191131+7753,287.886354,77.89395,287.886702898251,77.8940040108229,0.00542168989831712,1237663272554463616,,,
65,NGC3169,153.562912,3.466119,,,,,,,
66,UGC3787,109.4899,9.689414,,,,,,,
67,NGC4680,191.728121,-11.637039,191.728083086085,-11.6370740481454,0.0029672269070112,1237671264954744893,,,
68,NGC3978,179.042996,60.522621,179.0429936499,60.5225242942299,0.00581399962672247,1237658312939798567,953,52411,579
69,IC4239,201.106142,30.959344,201.10594909424,30.9592860386663,0.0104439821444003,1237665226237739121,6492,56362,450
70,UGC881,20.222896,4.801569,20.2228122708778,4.80139919666921,0.0113660997371668,1237678622773018702,,,
71,UGC11149,272.790771,49.864669,,,,,,,
72,MCG-01-39-03,230.389071,-7.447681,,,,,,,
73,UGC139,3.6328,-0.737675,3.63272291920641,-0.737555262980531,0.00854781202927245,1237663783125254177,389,51795,208
74,NGC7541,348.682738,4.5339,348.682865794033,4.53407591165552,0.0129983156017988,1237679005021831291,,,
75,UGC2828,55.600125,39.244544,55.6001789536189,39.2444525712056,0.00609748696734423,1237661056357630485,,,
76,AnonJ005629-0113,14.121767,-1.2267,14.1217149303365,-1.22675009611771,0.00433887489897847,1237663782592971055,4224,55481,124
77,NGC5005,197.734633,37.058942,,,,,,,
78,NGC5468,211.645325,-5.453161,,,,,,,
79,AnonJ131349+0657,198.455154,6.962531,198.455163081569,6.96269932274866,0.0101071543492934,1237661971191431181,1797,54507,273
80,NGC4786,193.635087,-6.859439,,,,,,,
81,NGC6916,305.887754,58.344056,305.887954683902,58.3440114073756,0.00677508029561605,1237671939277783624,,,
82,UGC10030,236.751725,-0.985311,236.751737447874,-0.985161089626999,0.00902774915790509,1237655693020364915,,,
83,UGC3595,104.001871,55.400764,,,,,,,
84,UGC2384,43.752371,16.012364,,,,,,,
85,NGC1699,74.248458,-4.756847,74.2484986469379,-4.75686461106893,0.00260530310876873,1237676302948368569,,,
86,NGC2623,129.600387,25.754639,129.600065967901,25.7545236202063,0.0187002544850789,1237664668961538066,1930,53347,477
87,UGC1162,24.564462,41.6541,,,,,,,
88,MCG+06-06-49,37.916883,39.378375,,,,,,,
89,NGC252,12.006183,27.623822,12.0062928502645,27.6239335354351,0.00892686895944592,1237678790811910239,,,
90,NGC7407,343.337962,32.129381,343.337962193906,32.1293833740367,5.89095575330606E-4,1237680502896132471,,,
