n_groups 	 silhouette 	 Dunn 	 	 	 Davis 	 	 	 vrc
2	 	 	0.374764323221	1.06594063026	1.52705207683	1392.59707794
3	 	 	0.354179451919	0.92056144865	1.55931408936	2077.03230685
4	 	 	0.366292104506	1.39046576838	1.34855786777	2443.34209452
5	 	 	0.352108819538	0.972070418167	1.44094698902	3243.40494414
6	 	 	0.360162979098	0.773815533016	1.71876250813	3726.50869393
7	 	 	0.283529776519	0.647210527258	1.85573785661	4062.64667144
8	 	 	0.304364202466	0.681393637831	1.80956246061	4638.61332444
9	 	 	0.303548831629	0.619635448611	1.90941933812	4887.74914009
10	 	 	0.303039695421	0.687156213286	1.85982223145	5098.21387206

 Final results 
        	 silhouette 	 Dunn 	 Davis 	 vrc
n_groups 	 	 	 	2	 	4	 	4	 	2
