n_groups 	 silhouette 	 Dunn 	 	 	 Davis 	 	 	 vrc
2	 	 	0.362715033069	1.0301922448	1.58212898762	1327.94236565
3	 	 	0.341080479247	0.890605375242	1.70726353315	1956.92791847
4	 	 	0.349832000523	1.32607633615	1.37245399948	2265.83052314
5	 	 	0.338817173294	0.946597164564	1.48098934177	2975.30513934
6	 	 	0.341028722943	0.725723379387	1.76163572085	3297.55894726
7	 	 	0.268940073787	0.604945587463	1.74894385657	3686.01280663
8	 	 	0.270120306067	0.62496455101	1.81306268699	3915.57722475
9	 	 	0.290790287538	0.62965774288	1.84185808059	4479.85298304
10	 	 	0.290538104971	0.64117132419	1.84106517948	4741.56270826

 Final results 
        	 silhouette 	 Dunn 	 Davis 	 vrc
n_groups 	 	 	 	2	 	4	 	4	 	2
