n_groups 	 silhouette 	 Dunn 	 	 	 Davis 	 	 	 vrc
2	 	 	0.409309327563	1.1075216439	1.47098639747	1615.22443713
3	 	 	0.391145982811	0.961182580687	1.44119374502	2582.52550646
4	 	 	0.404446317624	1.52897505571	1.21054479281	3121.42208556
5	 	 	0.385547478729	1.08240472074	1.19744574331	4370.22439826
6	 	 	0.334292385708	0.871582701406	1.57429783216	4484.25143548
7	 	 	0.315182113211	0.806709922861	1.67452328219	5360.31434315
8	 	 	0.302523640243	0.783094254113	1.69616703825	5594.67656058
9	 	 	0.301922352195	0.751778371458	1.79878330047	5890.2161737
10	 	 	0.298516711148	0.693910961246	1.87253323589	6361.7571024

 Final results 
        	 silhouette 	 Dunn 	 Davis 	 vrc
n_groups 	 	 	 	2	 	4	 	5	 	2
