n_groups 	 silhouette 	 Dunn 	 	 	 Davis 	 	 	 vrc
2	 	 	0.362555471254	1.03156633999	1.57585291419	1332.24359212
3	 	 	0.341080479247	0.890605375242	1.81036576463	1956.92791847
4	 	 	0.349832000523	1.32607633615	1.40071962959	2265.83052314
5	 	 	0.335776779491	0.925772054831	1.53565587929	2852.12359711
6	 	 	0.346609542659	0.808658284017	1.70358399029	3496.29027687
7	 	 	0.269788056697	0.642532584484	1.83364521051	3720.47727353
8	 	 	0.290074893689	0.6702002563	1.70585236392	4226.40971682
9	 	 	0.291031876089	0.626736591188	1.68823618283	4483.67062222
10	 	 	0.290281257782	0.64117132419	1.88009460364	4741.13773254

 Final results 
        	 silhouette 	 Dunn 	 Davis 	 vrc
n_groups 	 	 	 	2	 	4	 	4	 	2
