n_groups 	 silhouette 	 Dunn 	 	 	 Davis 	 	 	 vrc
2	 	 	0.362555471254	1.03156633999	1.57585291419	1332.24359212
3	 	 	0.340781267917	0.889399367606	1.81203150635	1953.27077636
4	 	 	0.349832000523	1.32607633615	1.35954743896	2265.83052314
5	 	 	0.338302857309	0.939321719226	1.38117009231	2977.69045327
6	 	 	0.346439686387	0.768626472358	1.74226775887	3493.27317424
7	 	 	0.270347860673	0.643254241676	1.91214059056	3733.5396539
8	 	 	0.269263268612	0.623433760611	1.88047000858	3935.65610775
9	 	 	0.291031876089	0.626736591188	1.76409706666	4483.67062222
10	 	 	0.290538104971	0.64117132419	1.89291329102	4741.56270826

 Final results 
        	 silhouette 	 Dunn 	 Davis 	 vrc
n_groups 	 	 	 	2	 	4	 	4	 	2
