n_groups 	 silhouette 	 Dunn 	 	 	 Davis 	 	 	 vrc
2	 	 	0.481475160899	1.323778111	1.08796296707	2230.46284459
3	 	 	0.468118077138	1.08147899336	1.24902713855	3873.05180447
4	 	 	0.464673939607	0.860023570577	1.29564567628	6495.48304566
5	 	 	0.427616595898	1.37676062386	1.06680248027	7799.15956968
6	 	 	0.391554217252	0.995900191918	1.14927435344	8431.54729382
7	 	 	0.354984713888	0.962785257934	1.4078504651	9376.98972877
8	 	 	0.376463872449	1.00719821252	1.25967335682	10334.5925875
9	 	 	0.381223397746	0.773254922307	1.31979014424	11142.2373725
10	 	 	0.377439159915	0.779486925867	1.38433826516	14564.5121573

 Final results 
        	 silhouette 	 Dunn 	 Davis 	 vrc
n_groups 	 	 	 	2	 	5	 	5	 	2
