PCS 	 groups 	 silhouette 	 dunn 	 davis 	 vrc 
2 	 2 	 0.481475160899 	 1.323778111 	 1.08796296707 	 2230.46284459
2 	 3 	 0.468118077138 	 1.08147899336 	 1.11659141428 	 3873.05180447
2 	 4 	 0.464673939607 	 0.860023570577 	 1.35169914182 	 6495.48304566
2 	 5 	 0.427807637322 	 1.37676062386 	 1.02433265447 	 7804.17748842
2 	 6 	 0.380359984068 	 0.861586646294 	 1.45263330437 	 8531.2034633
2 	 7 	 0.355201585506 	 0.974730568931 	 1.31660228645 	 9382.45456907
2 	 8 	 0.376100763844 	 1.00448237169 	 1.19148383002 	 10340.264666
3 	 2 	 0.409309327563 	 1.1075216439 	 1.47098639747 	 1615.22443713
3 	 3 	 0.391251352234 	 0.963047901827 	 1.51959560064 	 2580.58870812
3 	 4 	 0.405018057872 	 1.5335277226 	 1.20515614675 	 3106.45570862
3 	 5 	 0.385483553664 	 1.0847460146 	 1.29689185842 	 4379.35220814
3 	 6 	 0.309268544352 	 0.626765528626 	 1.69795368772 	 4738.91188772
3 	 7 	 0.316135574372 	 0.800573585314 	 1.63717865792 	 5416.48695533
3 	 8 	 0.302551107726 	 0.783094254113 	 1.62706443002 	 5598.80962997
4 	 2 	 0.374764323221 	 1.06594063026 	 1.52705207683 	 1392.59707794
4 	 3 	 0.354111012938 	 0.919323039731 	 1.52944398288 	 2071.85432985
4 	 4 	 0.364113907588 	 1.35410997839 	 1.32174292333 	 2395.51350339
4 	 5 	 0.351893474033 	 0.966055460722 	 1.41401035678 	 3218.98878386
4 	 6 	 0.338335667262 	 0.695401693649 	 1.71097542711 	 3439.32372802
4 	 7 	 0.283619179749 	 0.634384758085 	 1.93843625882 	 4063.80288992
4 	 8 	 0.304939918719 	 0.681393637831 	 1.68414324039 	 4658.37306739


*** Final results ****

Silhouette 	0.481475160899 	 2PC_2g
Dunn 	1.5335277226 	 3PC_4g
Davis  	1.02433265447 	 2PC_5g
vrc 	1392.59707794 	 4PC_2g
