Pair	 Nspec	 mean epoch	 epoch std
(0,0)	 57			 -1.69			 1.34
(0,1)	 13			 -1.32			 2.07
(0,2)	 45			 -0.11			 1.39
(0,3)	 51			 0.16			 1.75
(0,4)	 100			 0.24			 1.66
(1,0)	 24			 -1.28			 1.24
(1,1)	 11			 1.18			 1.53
(1,2)	 17			 0.76			 1.50
(1,3)	 5			 -0.89			 2.36
(1,4)	 19			 0.93			 1.51
(2,0)	 12			 0.54			 2.10
(2,1)	 7			 -1.08			 1.24
(2,2)	 6			 2.12			 2.00
(2,3)	 12			 0.01			 1.88
(2,4)	 10			 -0.58			 1.93
(3,3)	 7			 1.76			 1.30
(3,4)	 7			 -0.92			 2.06
(4,0)	 17			 0.64			 1.28
(4,1)	 3			 0.54			 0.67
(4,2)	 7			 -0.93			 1.70
(4,4)	 54			 1.05			 1.67
