"DF.L3.C1","DF.L3.C2","DF.L3.C3","DF.L3.C4","DF.L3.C5","DF.L3.C6","DF.L3.C7","DF.L3.C8","DF.L3.C9","DF.L3.C10"
0.0284436740921461,-0.0488659656959436,-0.0805358634819027,-0.0415678227779157,-0.0442599032144302,0.0856724806305688,-0.0905813844475778,0.0638365972833446,0.00118596512526647,0.0433423308141921
0.200686937483817,-0.550100699593752,-0.47329174777421,-0.218410476637831,-0.294976126782731,-0.20761838429165,-0.0523567665850253,0.403084026941528,-0.199019409372762,0.489928667885135
-0.0810375054243391,0.397999335193811,0.172480249297262,-0.0873384568839526,0.0957714541683561,-0.252387866015857,-0.0610489880360585,0.0243623617837028,0.262201910152625,0.390550014370871
0.363992729026521,0.313248675259247,-0.0567782108832189,-0.372493164499021,-0.063168968958452,-0.235184124748892,-0.161762473534488,0.28955550357479,0.258058497299525,0.202208749171948
-0.320223277855482,0.251197049966547,0.216870560026509,0.0296874928172802,0.059794771045525,0.0405656796348396,0.0832213964678717,0.0976457798368878,0.392278614404931,0.31549934616965
0.333152396726141,-0.456676135965231,-0.433831962259742,0.18921209108712,-0.27390759154842,-0.149270320666061,0.0968774553646998,0.405876586252422,-0.0719275795827157,0.457647668898717
-0.269548779942915,0.219897421959651,0.249079799284862,0.066491459231845,-0.0933540262303216,0.102587397447689,0.108322339591375,0.174922847784223,0.376446493725651,0.157065143968226
-0.260033759444769,0.282998801691106,0.210011166532745,-0.00653815899761701,0.115669810705214,-0.0850892858802392,0.0149530911654935,0.0439782606159719,0.34892464144078,0.358345019720557
0.219116389972903,-0.470090589840091,-0.349740756687619,0.00857557857628088,-0.386280636811128,-0.185450046406595,-0.0458896452783624,0.335266926233465,-0.149696922106878,0.494864115275472
-0.222757591148854,0.223111918409524,0.234221648292927,0.0754979790579706,-0.195267492026377,0.0675333367387932,0.0996423975073717,0.174421432495223,0.330514033532439,0.0695084550218728
-0.240765445797073,0.265917393285819,0.108835667069098,0.139341175235755,-0.239431130006016,-0.0343892851106888,0.111667005432924,-0.0170264382530707,0.249509484959251,0.0298768822815382
-0.436863989220269,0.510701036098177,0.0636713067430509,0.212577242140184,-0.0825538944899096,0.0580002530867699,0.255617840833314,-0.167998675373036,0.204627695155936,0.275736538632183
-0.448264365182784,-0.137634167647767,0.480442018783613,0.153310588946382,-0.125915006727835,-0.122017797002769,0.3294215936623,-0.300101872362227,0.0914371617456723,0.171172817182619
-0.411730398080058,0.52912501982565,0.0496707457891047,0.231997252324658,-0.154146361692235,0.173774818787378,0.2449281737219,-0.135539931942625,0.296245688837008,0.268466576579316
0.071715361287001,-0.421602904453633,-0.298681480118818,0.055007900419377,-0.214118357418105,-0.147617384229923,-0.0996960304934491,0.174635421057667,0.12881917374059,0.226479314286393
-0.0287801233471783,-0.398104508773116,-0.165528921011476,-0.0747736865102706,-0.262956461055294,-0.161743121843342,-0.106464402431893,0.0342344001220456,0.131099898100165,0.165814345164222
-0.397133721294247,0.557744500396089,0.0519462092952812,0.18947724334415,-0.132595200417166,0.103163091700469,0.217947644157074,-0.186521491165174,0.27437072147695,0.285243075443068
-0.329554003401313,0.373857606078248,0.174233233325692,0.312724797727476,-0.415646295582869,0.170627598613535,0.347531885664593,0.0132580508100233,0.137518173310008,0.060996579177845
-0.454267294900017,-0.102404334823894,0.512791372336623,0.111424487444751,-0.246683190735208,-0.225970450220463,0.279899193519011,-0.324607955944536,-0.080372726783865,0.0799934534560947
-0.437565689445061,0.517987102017687,0.0550996707070351,0.224955973825117,-0.181821979521148,0.168291863853743,0.275539424808692,-0.122799094756973,0.263107048670297,0.241095993132081
0.0212481158758985,-0.423542108149287,-0.228640001224496,0.0515063540960219,-0.212992116994743,-0.143931688219627,-0.0822476034696886,0.115464971996467,0.133130294756524,0.217045023407558
-0.294234161048971,0.138792091836913,0.420492280611465,0.202104761053019,-0.492056138046972,-0.199801363021462,0.307430881502006,-0.094242050634866,-0.234640830379468,-0.0354299071314186
-0.35827756546936,0.448012172923988,0.183670579384969,0.277674814164337,-0.394209227205076,0.222298469876886,0.364060846494899,0.0173760724293834,0.177967406010566,0.102339868787761
-0.412581368542161,-0.0301910563815366,0.502519991394998,0.126135239157096,-0.343103825698914,-0.276303873140613,0.297976739010961,-0.245869461112842,-0.215065039199601,0.00865384178170991
-0.381770106681826,0.436973811152476,0.113463252201275,0.26048536543702,-0.292087283197941,0.200259612473393,0.326619715333144,-0.0216534371946193,0.214311746703598,0.143612547233154
-0.419221968323581,0.489351930611455,0.0681277952470987,0.255386611363761,-0.239569179780788,0.185733235074905,0.307134770706309,-0.0793644165145169,0.240062006842281,0.217945162772473
-0.328361853002519,0.491605426075901,0.233589114193408,-0.00467330739693739,-0.0707149623824239,-0.0644027781638634,-0.0790824509666244,0.0942010639294496,0.227907338020513,0.348739205273011
0.011264619365793,-0.0244295163642034,-0.381472685431185,-0.0165689242793947,0.39182570671891,-0.609746428766928,-0.265831669256589,0.550391908111739,0.105317250599635,-0.483932259817785
-0.0821496184696597,0.30723872246823,0.112337806204501,0.0497531397156283,-0.260536183316992,0.0490398698781678,0.147513236943653,-0.0255854277961949,0.342837661881595,0.0945563880387061
