"DF.L3.C1","DF.L3.C2","DF.L3.C3","DF.L3.C4","DF.L3.C5","DF.L3.C6","DF.L3.C7","DF.L3.C8","DF.L3.C9","DF.L3.C10","DF.L3.C11","DF.L3.C12","DF.L3.C13","DF.L3.C14","DF.L3.C15","DF.L3.C16","DF.L3.C17","DF.L3.C18","DF.L3.C19","DF.L3.C20"
0.0607080232007254,0.0891691766300494,-0.022643546310126,0.098885553025896,0.141874964787369,-0.0534899151735087,-0.0181928484824763,-0.0490567436318552,0.0348707432487535,0.0208021871609286,-0.0200275777250722,-0.0287410320272212,-0.0563035779057399,0.141678406068029,0.121779891422904,0.0548351595175646,0.155288263331987,0.0388090830835787,0.0289788858061867,0.110720314820219
-0.143706994471428,0.148793337611603,-0.530848376288894,0.411260507611459,-0.0103142342065476,0.391650491055325,-0.352405179559307,-0.316931984868799,-0.0168160249924427,0.19153478577796,-0.243152055983333,-0.0894856203456889,0.0508270892158801,0.333872087594595,-0.250659191599907,0.129143763767829,0.199133458711934,0.314549081649304,-0.144659714200194,0.259538815658769
0.119929610861235,0.197960404781883,0.397763148518587,0.0982429700277029,0.0624006598604545,-0.407003695209067,-0.388271649685159,-0.346114662258422,0.108912237542661,0.15381075006209,-0.0646009540021224,-0.147041415471898,-0.121669340335181,0.00918549280181657,0.0939680158103202,0.0137746827375991,-0.259730125864761,0.0617150110139307,-0.00592790288983602,0.0292954242372464
-0.0884965421994772,0.174587807296555,0.0608216679334318,-0.0995579055229754,0.136078802977924,-0.357056142464132,-0.298592030917217,-0.188231214828326,0.333120437045515,0.233490274496202,-0.274755891985283,0.0167969755703877,-0.332840350311574,0.211472637776956,-0.0327058745772422,0.328431638561975,-0.185897885341047,0.303153731447891,-0.20387241789148,0.161183225584038
0.158358426687811,0.331886047700156,0.328899497856127,0.194013201607652,-0.0340020272270474,-0.354180742522512,-0.338601335401149,-0.236885848604456,-0.148116585444202,-0.100912956573783,0.174529267748265,-0.262238660992905,-0.173685504451352,0.0277479749746465,0.131355310460015,-0.183667782251582,-0.104672572536792,-0.046746341565054,-0.0378287790690346,-0.144277214256523
-0.144426334254388,-0.088375025252279,-0.421655838256402,0.227605492878319,-0.153023838017177,0.333770303383466,-0.183278121037528,-0.426215582293319,0.132804697159693,-0.0308834677991441,-0.147390115086015,0.22521281874382,0.111777078828047,0.326159536827489,-0.193049017666928,-0.0593388389199851,0.0968290843619188,0.17519829731138,-0.364054048737461,0.0208814302501996
0.148187347504336,0.366570462008723,0.248924956280353,0.197121876140214,-0.152470849355539,-0.299246666912742,-0.183165523023514,-0.0986833383687793,-0.14890530484942,-0.128215199120062,0.15596116347979,-0.204633087405228,-0.197705928852613,0.0191821205632786,0.218426525502955,-0.207466334833026,0.0436463256738171,-0.010823665943503,-0.140922480545364,-0.153669132969631
0.161606995963184,0.27044297910721,0.371927679823861,0.148937085037941,0.00818003128726952,-0.366915198273796,-0.377045662708517,-0.27923951554519,-0.0590340779310701,0.0170869985792531,0.119852537346363,-0.213567995759542,-0.124011070913625,0.0420946153890106,0.12530247102208,-0.139280310521828,-0.204522153454948,-0.0375448119538697,0.0243781198167763,-0.0634485474337734
-0.123137006004638,0.120707120367968,-0.376036195791872,0.182810534833718,-0.0939790338774804,0.345614509594369,-0.189258873013053,-0.394072044343061,0.000486197473576699,0.0477463713844325,-0.155444879229015,0.140892299968357,0.0918360753067693,0.336675522826866,-0.302972947797835,-0.00190790823811526,0.168609212977157,0.211096742334881,-0.298469092105353,0.281805681737712
0.172486360632623,0.345490685560998,0.2049391875152,0.184280590745682,-0.221923728817506,-0.243967745108236,-0.110707441373656,-0.0277861016539407,-0.130823858639923,-0.10463180894122,0.104176194867067,-0.181849049609911,-0.208877292867801,-0.0273125066741395,0.311577420383412,-0.197061576837547,0.105482274228471,0.049902657337323,-0.215388660221443,-0.0497148304256589
0.0704528577402485,0.123930776116705,0.245297042750946,0.143050251201472,-0.184716705276873,-0.160115243975551,-0.0594932946317619,0.116945072002664,-0.204753047315364,0.0144271845050583,-0.0288819379772518,0.0583939039317791,-0.188289722208346,-0.18324092211833,0.326759785664325,-0.275446617671815,0.148976852215206,-0.0509741854759622,-0.287413925918045,0.0995262764711715
