"DF.L3.C1","DF.L3.C2","DF.L3.C3","DF.L3.C4","DF.L3.C5","DF.L3.C6","DF.L3.C7"
-0.064002639342897,-0.0568445583968118,0.0702554928411406,0.0534611992342416,-0.0387874716899661,-0.0859351044632373,0.214089770755485
-0.549444036760558,-0.466762867452456,0.689800831325336,0.204517237264526,-0.266694056045263,0.176901642612857,0.572747037847529
0.216419855765631,0.296074793141828,0.194086050271896,-0.0922084596830122,0.190149674064295,-0.506801188935809,0.0109069545006558
-0.131360493975077,-0.0680416345761505,0.255060921277564,0.243222140696499,0.0577095592320409,-0.690488399989841,0.29492671608716
0.411007775456102,0.323840001346843,0.0930019399479939,-0.0432118037149449,0.0349608766031038,-0.278542025237924,0.00129966144582339
-0.494700519596312,-0.240748902123666,0.667389364455454,0.420951706053667,0.0183633048158159,0.412456132773691,0.425217239067037
0.373318263451738,0.277282662068163,-0.0169881436920938,0.09099117068744,-0.10234583420487,-0.182480908967196,0.0124875854336122
0.358106161176157,0.315602668288858,0.135256595633148,-0.102017190145445,0.124449346623676,-0.357413946371593,-0.00380353412112777
-0.471176205730903,-0.253419690129353,0.636225863263628,0.204238200072251,-0.192633181916785,0.286049607725487,0.48448648895015
0.300065651173067,0.255449210204054,-0.0879059497572519,0.137564091158165,-0.151875951858652,-0.150555079535341,0.0147573019852353
0.130931503738912,0.326031233024024,-0.197619636119959,0.0898270878317989,-0.0728867328202134,-0.0871886498202032,-0.0339599527035219
0.100253846667979,0.71548514011864,-0.139737665834416,0.162508855458858,0.0526751263233275,-0.16640023965031,-0.283405387864638
0.304595609828764,0.227714555756626,-0.0846805393454808,-0.422078272575809,-0.222511378479432,0.2579046085154,-0.527222079023959
0.139061391562209,0.734853467584477,-0.152152188159681,0.147454804528485,0.0142998242693085,-0.182501346679823,-0.200733388413199
-0.284980458245555,-0.234298401693958,0.293336904810938,0.0573997149516036,0.00727994379255203,0.224474238111027,0.473157186142887
-0.219586714421602,-0.236906647618213,0.170198054131866,-0.127913397025025,-0.127497228053228,0.109764478373932,0.353358475072585
0.105094897296281,0.729312320627165,-0.145511648188194,0.0867165660563007,0.0381526415762515,-0.247945145658944,-0.216937294017805
0.124430107023381,0.624017882971544,-0.240142006754741,0.310166469255696,-0.241510686735509,0.106556359733721,-0.268689797057522
0.218149963164802,0.236813849976157,-0.17075170654943,-0.412396744619622,-0.301698341608732,0.277477983032939,-0.548881203405337
