"DF.L3.C1","DF.L3.C2","DF.L3.C3","DF.L3.C4","DF.L3.C5"
-0.0167215912211267,-0.152729748966345,-0.136076930135216,0.0470159938613615,-0.108211777880909
0.431419969055201,-0.378659501144303,-0.649183246992062,-0.24261104309463,-0.529488021626447
-0.392134590041748,-0.0555975614311832,0.147320119318437,0.2624109005914,-0.325667441265611
-0.334618985288881,-0.383794546748814,-0.25525952952687,0.334849218261538,-0.350176515574081
-0.136551994501576,-0.0456097010929561,0.301395019303228,0.220726732916222,-0.181904221463563
0.501477276228283,-0.0523959624996502,-0.554089777410282,-0.0700600350967548,-0.512446118550168
-0.0160100360676043,-0.0887315475695172,0.311915949316203,0.19852640480878,-0.0628886305087664
-0.237795744776479,-0.0270999577681896,0.247791292561041,0.227600051533866,-0.241542339679469
0.417596570160398,-0.238699353710717,-0.501786139462583,-0.206773954308648,-0.490455728838478
0.00359266830701999,-0.106008357522211,0.283095839476958,0.175465544560815,0.000139691022859267
-0.086787328290848,-0.012861626694193,0.222893505938184,0.14444991375855,0.0838256068583932
-0.278428210774537,0.161976907179729,0.418988369655579,0.198284384741173,-0.0458378743089434
0.0023435918006649,0.234312268760684,0.36236807532206,-0.470687135457292,0.0801613659448032
-0.269365967806975,0.104956955313399,0.445946207569985,0.246444939563509,-0.0258959772769616
0.316460415793308,-0.148484334794247,-0.44030900505667,-0.0332558766749242,-0.192906268071517
0.185553798408805,-0.221505715012469,-0.350240926916362,-0.165347083246262,-0.0763951833313619
-0.345364321932,0.100877601110392,0.425877682260204,0.238637327969053,-0.0360326676470286
0.0139488914034915,0.0946005472510909,0.465872892692802,0.0647008676116354,0.110216666924559
-0.0139191943712029,0.203450834497361,0.375247408673269,-0.524721637398532,0.148611354596569
-0.236557351654627,0.101276227624973,0.457995396368396,0.214864950392818,0.00283538861351718
0.287580513329585,-0.134534232984054,-0.384028122412721,-0.0854380505457519,-0.159338242075053
0.0784681454955306,0.119054276039139,0.399218433116524,-0.353341828453616,0.157552326071839
-0.0445225461452503,0.0642461289558246,0.527332730855149,0.101076878249261,0.0823453821755881
0.033221273406374,0.188470138951724,0.385118665611169,-0.505882013612848,0.167811094608261
-0.0871022663240584,0.0901854979553911,0.462741813221493,0.152480728503594,0.0507204856241963
-0.168036252941636,0.102111564649255,0.4673474392447,0.18751123550818,0.0127795815128515
-0.2764456285191,-0.147821773082886,0.412090257549265,0.292182829910997,-0.226929207182719
0.345986086242032,-0.0120829115211691,-0.474906232751725,0.669303751039898,0.168651101888403
-0.19146808123131,-0.0774934074224836,0.171405784133463,0.144370183136228,0.0148376721836218
0.327656958612081,-0.27689078677314,-0.441080507133672,-0.305981281493614,-0.387581983406791
0.663824374301979,0.0870809814465423,-0.745760313956237,0.221763535156099,-0.424411642561634
-0.403331384179056,-0.132628996238539,0.28305176910277,0.315000534757684,-0.226162786801054
0.212934213463342,-0.51947342023603,-0.661448163594069,-0.321243207569017,-0.39447468033777
0.313530779828681,-0.221420276152372,-0.450610546859337,-0.289612384057361,-0.401934721638606
-0.273946850198513,-0.528266832464153,-0.454436041272104,0.205312931315857,-0.422680485132478
0.0215910886862694,-0.563352731508829,-0.553936708560282,-0.085220255741054,-0.456751662531513
0.464347306142128,-0.0871783507641033,-0.479899849332722,-0.00177601135906857,-0.410680098615088
-0.166009312621616,-0.110757148804706,0.366298501564221,0.28164989971307,-0.165315440453244
0.329347902020248,-0.146783565691759,-0.390504240732102,-0.172287398175957,-0.356020814051713
0.397356411448672,-0.0613823483383766,-0.492057687284076,-0.164286893903905,-0.369824961595069
0.634370117056333,0.0544809184883421,-0.672532307926336,0.204650196786319,-0.470253574619275
0.179108686887329,-0.484483009346263,-0.598711907082862,-0.189701382592775,-0.406060383073999
-0.141129164256464,-0.0974037983726685,0.334893894083691,0.236272881059795,-0.182476624463497
0.555386666420334,0.133836317441428,-0.50504201453796,0.588402889529235,-0.0996717830046889
0.0134476362270264,-0.57610056524079,-0.406625245691736,-0.26137559834877,0.13096916590124
0.180082622810862,-0.10483551617885,0.268884908913724,0.106830435793943,0.101822266517956
