"DF.L3.C1","DF.L3.C2","DF.L3.C3"
0.109224159730501,-0.0942419229859053,-0.167335093708025
0.563342758491906,0.243604604178804,-0.721024281090781
-0.235825305485309,-0.327634645230222,-0.183977127299707
0.172617630710188,-0.441527602860256,-0.38364081094386
-0.348375351801932,-0.170475459609698,-0.101846043790982
0.481595702242395,0.461615332938411,-0.467766027837075
-0.33005664156771,-0.124694197814612,-0.061893178744715
-0.311175749592197,-0.221088384761432,-0.121977052006088
0.414038808070376,0.304127095490567,-0.602209057733035
-0.295359200476558,-0.127654428939272,-0.0396269856905012
-0.25501770042193,-0.148695614765284,0.0568632412124849
-0.488432254520184,-0.185854905491404,0.072532809978293
-0.466913999203639,0.120326960433955,0.0227658381196358
-0.498596988463027,-0.21670034760948,0.0628029579284696
0.420773906449674,0.176464598467152,-0.275845420418563
0.313176324416856,0.0278757464252306,-0.276274702068008
-0.48984117998144,-0.269418667354342,0.0515807501770441
-0.48636907840366,-0.0158420292620423,0.086479259425803
-0.480546124772243,0.0828409264268448,0.0312866200448437
-0.506632302801089,-0.195993944794126,0.0718434982614031
0.354197287485116,0.161024927125228,-0.259857808400678
-0.452012911417789,0.0843081999360913,0.0309888217321472
-0.54452679467693,-0.073661840848007,0.0600381282763452
-0.473528957702142,0.103339210733095,0.0360461071544323
-0.494710266044416,-0.0922818400381387,0.0701516006821084
-0.509892798650856,-0.143511093942827,0.0672800049389013
-0.454346906664474,-0.329979650155201,-0.17820848662129
0.685095959219605,0.160983679903814,0.39258178867721
-0.233860184010066,-0.244492985136072,-0.0342690735638087
0.354617708963258,0.20416418106441,-0.576293987418855
0.758474163415898,0.61999043737617,-0.219005194754831
-0.360513097788708,-0.422386559146146,-0.15092499482724
0.541845319780871,-0.0175363219107889,-0.708637403742359
0.354529056919946,0.222824459573056,-0.55086358098777
0.338458103175764,-0.450877291396766,-0.572605868038448
0.427711607732688,-0.20042456652324,-0.701999486820865
0.434902502056931,0.378072440841104,-0.399250704687253
-0.405515704067635,-0.240536910553822,-0.12087295419843
0.312579673138927,0.249162161705222,-0.436182251075417
0.42442287565066,0.361328912339378,-0.392210088336997
0.675328429535105,0.578918328494453,-0.286320292437954
0.49307707059175,-0.0389235869313926,-0.659333764438136
-0.370830710272974,-0.203794268424122,-0.130240518042795
0.660936959971193,0.446066858761642,0.21582713993408
0.375382986554339,-0.316217465102446,-0.365634352657602
-0.249342368329584,0.00736774594813683,0.00949519436208535
-0.0325175503714359,-0.552319801216194,-0.238971493222467
0.549028419968126,-0.157312987098905,-0.442338211272868
-0.229113929099014,-0.00579577181329349,0.0348307944440758
-0.320606216836052,-0.0804520897217467,-0.0572233351474001
-0.301847639118074,-0.043314442673293,-0.0403120563593851
-0.361463428022629,-0.135053696792146,-0.0862546270990745
0.0556520832509934,-0.618758901896551,-0.250884795346425
0.694311588261229,0.509734588471071,-0.0700459906362605
0.517133239997089,-0.101405724825467,-0.712851892389693
