"DF.L3.C1","DF.L3.C2","DF.L3.C3","DF.L3.C4","DF.L3.C5","DF.L3.C6"
0.136361536486362,-0.118915824302214,-0.0948765179335185,-0.060080525438245,-0.117050645945156,0.03895642250014
0.181107593205564,-0.178394671438904,-0.0520881420107133,-0.0370942244744701,-0.667294414598165,0.798798676183095
0.26978090156952,-0.199121383286539,-0.147242234323509,0.278745409311861,-0.173813310488574,-0.429061040510675
0.418753076003348,0.0505341385922269,-0.338951449560857,-0.0483703239599516,-0.567351734149679,-0.158118128252213
0.107028642863538,-0.332439341478843,0.0401727812096598,0.135459800882674,-0.0431476080088828,-0.443291486310095
-0.189671822322901,-0.220799248848145,-0.13919789298834,0.131762022812206,-0.613522615752334,0.660033335310453
0.0303987748974247,-0.275917788775202,0.113005777108907,-0.023820532405145,-0.0302688756318501,-0.415842116654975
0.166738851139039,-0.304150043187074,-0.0373603810117775,0.216478792472645,-0.06313160549994,-0.435540724228489
0.0640566772875212,-0.239880471372326,-0.00376998323082001,0.0673572533848965,-0.547539910868996,0.669171883158614
0.0137157488396061,-0.211144516885134,0.12236082599879,-0.0931687704388595,-0.0204043222755323,-0.388143817315085
-0.00779053444469358,-0.06838446303242,0.0689036976665157,-0.0201537873949946,0.0744561045231567,-0.368649175517167
-0.0631153575726244,-0.0193053835963317,0.0919324211158502,0.326425081381134,0.0453223243941202,-0.615021113347286
-0.145592324798777,-0.0288907754309342,0.529467432917151,0.347748412055898,0.446366982517542,-0.134380399909603
-0.0232268516028131,-0.0599487726306895,0.100499321826382,0.26092466369552,0.0358288272725223,-0.639969099016564
0.0703862303213298,-0.216428025476674,-0.157685460641066,-0.0584002021917589,-0.202603200646394,0.48918487711626
0.205435624180751,-0.129307663481572,-0.0392911432819467,-0.0844413905385,-0.0569967837004821,0.422656947617452
0.0366835000366803,-0.0253471095468631,0.0734373771800945,0.296992854570765,0.0410009784169908,-0.642414884733903
-0.238213462807771,-0.00144206461882956,0.322898196689196,0.0646485426605348,0.0637886483523504,-0.500357548398211
-0.131700509133446,0.0702326229049778,0.574020844421975,0.291631568707645,0.472993759136058,-0.124191723215459
-0.0452663350337994,-0.0452571018560806,0.140758982901198,0.238981120134596,0.0529753218345901,-0.633054277404949
