"DF.L3.C1","DF.L3.C2","DF.L3.C3","DF.L3.C4","DF.L3.C5","DF.L3.C6","DF.L3.C7","DF.L3.C8","DF.L3.C9"
-0.0331638034375557,-0.187346389549394,0.104890584638926,-0.0809769339238025,0.0012684057551513,0.0129597621751966,0.157783974711184,0.08236030689205,-0.069088102388575
0.354907025164834,0.305818990667688,-0.23781529310563,0.191279566212317,0.037769698322095,-0.451965843612617,0.653948675645266,0.537471428002958,0.133889947498802
-0.302951839614661,0.500741688244132,0.235419080965212,0.153324419385636,0.227469874080339,0.231888786199349,0.101535668751876,-0.168388730080303,-0.205154046950139
-0.096105008486757,0.38326089812403,0.137862733952016,0.0803702253933422,0.059237901886215,0.385281010197951,0.368023699511593,0.302254226797483,-0.287202278817932
-0.464296931289586,0.38394116908643,0.189064179435332,0.293872075602142,-0.0208959662437991,-0.0384552269102971,-0.130684275841049,-0.229780696272758,-0.207432664213503
0.333287257616632,0.162141346334806,0.101737160956553,0.305585644804666,-0.174449691942618,-0.356566580710323,0.574330955382014,0.365006033507755,0.375379842007281
-0.461722968941261,0.215118779022194,0.0786555786540074,0.271184191013772,-0.18838683256492,-0.0479589386346555,-0.108388999606129,-0.219833713483248,-0.187241488054594
-0.398277195380302,0.448247829592037,0.217909387115223,0.225708830419175,0.0953532446796119,0.0491641223041617,-0.0703432893121949,-0.223359120287763,-0.201310007337825
0.297780689368769,0.184195145982741,-0.100095480302536,0.191418581276746,0.0133697708263663,-0.425212748196895,0.631506550260889,0.343759390974651,0.20306354411143
-0.39947193003469,0.128155633223308,-0.00976508778505547,0.228986694078057,-0.234410061226135,0.00175210581926133,-0.0366527732049098,-0.231123102793031,-0.171144032840008
-0.220090094891285,0.0248291765216737,-0.0506620036817995,0.248539627420629,-0.163382960489019,0.111241001669333,0.0453023896197269,-0.354862247924439,-0.114770342803463
