"DF.L3.C1","DF.L3.C2","DF.L3.C3","DF.L3.C4","DF.L3.C5","DF.L3.C6","DF.L3.C7","DF.L3.C8"
-0.0427213771541672,-0.108237710660831,0.0223214876614298,-0.0131849451128441,-0.0079913221641148,0.0912665614908387,0.0563179418718156,-0.208800145807623
-0.188140774751558,-0.536597072623146,-0.20968071360546,0.171579823371566,0.474367844885557,0.723635895854407,0.574623910285491,-0.527003803250068
-0.06117997042107,-0.207782819401104,-0.0667331378256311,0.504770811907834,-0.405764363352008,0.0764286415482587,-0.357950985812912,0.231461368704263
-0.391334850703969,-0.307445216255148,0.385565623729544,0.444174706044197,-0.293883992553893,0.304493763411862,-0.0282336901645956,-0.0752089744665092
0.117357255712132,-0.0263687663405743,-0.0803958271899978,0.395692910334443,-0.318990934784848,-0.0109470591174392,-0.49383389867018,0.0053573334482655
0.194468698086953,-0.564845996688343,-0.043988150758083,0.00218576642820667,0.294228125813873,0.619049008838571,0.5613019545316,-0.367712437838799
0.157746181587218,-0.0103441989949804,0.0215754269818678,0.287685991096173,-0.209544343943446,-0.0752264030173384,-0.498065509867962,-0.134409791779666
0.0561432651764948,-0.0507634466035263,-0.134505345338045,0.444101138295301,-0.370092203138999,0.0216344815464311,-0.437738726703331,0.103195859681506
-0.035667856693733,-0.539369359062148,-0.27576255665242,0.0217832152189592,0.412722202727569,0.626410651329303,0.476712672386939,-0.44263203920071
0.141834538921864,-0.0497889517099768,0.0458108956091111,0.262124839255472,-0.134659163842054,-0.122170587594997,-0.453116086194716,-0.158355543115893
0.160763442083573,-0.141996790729165,0.0117326926735415,0.209409395732147,-0.100061998760462,-0.254212040463409,-0.327537551832757,-0.00478623977168602
0.267825829408432,-0.362316516130639,-0.0561863476009479,0.136969772043823,-0.244052713006748,-0.293435479875814,-0.524290546740282,0.336158410174542
0.393315893491279,0.297412459241621,-0.440351038345712,0.241400251967759,0.292812647867734,-0.160237689795219,-0.43384954670345,0.208126098787325
0.239082209473117,-0.365219346607522,-0.00160680127391832,0.0490251514986685,-0.260675293320218,-0.312267463802343,-0.561128946219526,0.259676194406963
0.0336395300409045,-0.232298829506474,-0.134934650208142,0.150655504307493,0.144177029222096,0.261116107700952,0.460415137598509,-0.398737941287729
-0.087302112457839,-0.0964048575375323,-0.203380090232595,0.201407723173392,0.231673632695913,0.180552237975938,0.340572562857052,-0.366306470719904
0.184245893576431,-0.365910924993666,-0.0337408231578979,0.10479173095902,-0.276333143196913,-0.317049986640314,-0.542465105456574,0.314633020977304
0.387742805358128,-0.368643177017973,0.0941163383381889,-0.133254342904545,0.0794649211557625,-0.310352863529811,-0.573409318299773,0.0659685937109404
0.35025465993711,0.225470130629509,-0.494331284687941,0.206881755245848,0.382651959009113,-0.22958637511311,-0.455567292235468,0.188715593240062
0.256777128063539,-0.374858874326924,0.00920473603530658,0.0775681338052576,-0.205855577218459,-0.326857178055052,-0.573472976243179,0.244539013786873
0.0352187977554258,-0.161571899064777,-0.185042342987974,0.150979395981718,0.170811735955069,0.228305572816322,0.400452140038811,-0.368266859001399
0.372334719043923,-0.196488525959732,-0.252832948652542,-0.0206470329955453,0.448307471451693,-0.261767404996174,-0.488724639309626,0.0748300929153135
0.359058316372345,-0.386172746735305,0.139737364455304,-0.132369318807204,0.0207804311233591,-0.308162702602848,-0.649890777365917,0.0900704345207241
0.372506852406802,0.0687312073874681,-0.429617391710342,0.173048939844146,0.45255659785966,-0.250631932010066,-0.47710762653511,0.152233832987313
0.332855727729263,-0.361168681092763,0.0916220199202323,-0.0551010333589037,-0.0625876055872912,-0.301212439592323,-0.588272597987142,0.123976877815167
0.301290350147647,-0.397689580893722,0.0410249037058659,0.0271106701960894,-0.143407352049171,-0.314130342276352,-0.584177802889278,0.205903729867561
-0.00374314367284989,-0.315508308019205,-0.204613344141828,0.301846542208851,-0.37491662875228,-0.0774934725422975,-0.58961041799796,0.0502859457737439
0.252957808995392,-0.10338484020311,0.329483272935726,0.648305455198033,-0.424958621864963,-0.137508163473236,0.515585012638813,-0.384089243833025
0.0359302851732219,-0.137379507537052,0.161255332734442,0.199428369012321,-0.123157617232474,-0.164821196830874,-0.336717891227229,0.0323657997519862
-0.130197547953436,-0.456567370228854,-0.341551315753805,-0.037703225918301,0.46378193030152,0.540771024623098,0.419090692845884,-0.424165518525017
0.410327311572266,-0.472311691057891,0.27015031323839,0.0329690214822465,0.0287864273964238,0.515266114484975,0.770763868268027,-0.444614033264782
-0.113319806801978,-0.136702800967726,-0.266485046646765,0.34554017707978,-0.50258669098419,-0.0698491744345406,-0.465898091447008,0.140881441602612
-0.442315904032563,-0.175751708777544,-0.0625643579731121,0.315250413262899,0.434733441812396,0.674320977884989,0.507885003735578,-0.528324573011812
