comp 	 groups 	 silhouette 	 dunn 	 davis 	 vrc 
2 	 2 	 -0.00225140285902 	 0.524119969968 	 3.75773118877 	 2754.02749375
2 	 3 	 -0.0292717179821 	 0.508963922461 	 3.6154072293 	 2233.00470609
2 	 4 	 -0.0404146020994 	 0.299071253916 	 4.74452986107 	 2152.58683018
2 	 5 	 -0.0641105804448 	 0.286781530036 	 4.47105674909 	 2005.4880522
2 	 6 	 -0.0687804338917 	 0.229295606524 	 6.10505053231 	 1950.54291075
2 	 7 	 -0.293377911347 	 0.224585319989 	 5.45410736569 	 2511.15246401
2 	 8 	 -0.290852170242 	 0.22581920764 	 5.70926927572 	 2320.20281181
2 	 9 	 -0.292442634276 	 0.196621571998 	 6.287722209 	 2489.1587322
3 	 2 	 -0.00264412730502 	 0.416467080235 	 3.94861490251 	 2205.9863905
3 	 3 	 -0.0161144227462 	 0.374330357871 	 4.37125578935 	 1957.10677557
3 	 4 	 -0.0281187790376 	 0.375060172649 	 3.81553193718 	 1893.60298701
3 	 5 	 -0.0360486236899 	 0.317336396172 	 4.27305776869 	 1880.18402522
3 	 6 	 -0.0775740069929 	 0.264283355231 	 4.4196765508 	 2053.30370808
3 	 7 	 -0.0828349113615 	 0.25049599299 	 4.43065897741 	 1984.76959264
3 	 8 	 -0.0693424471631 	 0.226300625827 	 4.80867146497 	 1993.63197497
3 	 9 	 -0.107402346796 	 0.215440011345 	 5.21271665862 	 1883.41972537
4 	 2 	 -0.00128233615294 	 0.467093868629 	 3.90951734735 	 2412.58338835
4 	 3 	 -0.0117848303528 	 0.534923394922 	 3.46006838951 	 2074.91388231
4 	 4 	 -0.0452940203886 	 0.529691141876 	 3.14035831778 	 2394.83438511
4 	 5 	 -0.0490329056851 	 0.331259536917 	 4.27660339139 	 2266.18439114
4 	 6 	 -0.0538342530389 	 0.325197329177 	 3.91817350525 	 2222.6200927
4 	 7 	 -0.0506987516956 	 0.325503656629 	 4.04727558557 	 2093.61006252
4 	 8 	 -0.06035654232 	 0.345013960733 	 4.58219331955 	 2118.20986571
4 	 9 	 -0.0692205627206 	 0.293420894086 	 4.56634018456 	 2068.67371336
5 	 2 	 0.00272346362189 	 0.53373652508 	 3.35701555054 	 2143.44353103
5 	 3 	 -0.0161347331306 	 0.380436529251 	 4.07702043039 	 1860.69848023
5 	 4 	 -0.0319814006213 	 0.380911698619 	 3.75469605343 	 1711.82639178
5 	 5 	 -0.0540958587521 	 0.326214373809 	 4.47741152082 	 1696.32844619
5 	 6 	 -0.0575766717569 	 0.343308896901 	 4.31163458883 	 1726.23908369
5 	 7 	 -0.0611164230546 	 0.280156659988 	 4.62747041832 	 1705.05609812
5 	 8 	 -0.0675690944296 	 0.255976422761 	 4.29847497353 	 1776.84587036
5 	 9 	 -0.0796597212417 	 0.247717663267 	 4.67880186874 	 1934.88524291
6 	 2 	 -0.00223123975117 	 0.487859016453 	 4.02422120062 	 2128.33107171
6 	 3 	 -0.00936623981183 	 0.381570271985 	 4.63140097616 	 1820.07135004
6 	 4 	 -0.0219358817751 	 0.373684584515 	 4.75704244359 	 1715.25157661
6 	 5 	 -0.035507660412 	 0.348324489575 	 4.8644924986 	 1556.46003709
6 	 6 	 -0.0560663224429 	 0.318819607845 	 4.4845744696 	 1591.8961944
6 	 7 	 -0.060521685817 	 0.295647568335 	 4.73465900095 	 1551.11422721
6 	 8 	 -0.0640833375697 	 0.283848732879 	 4.72820916765 	 1518.52823397
6 	 9 	 -0.0641932557506 	 0.268513752099 	 4.94501637797 	 1570.67931735
7 	 2 	 -0.00940919012099 	 0.618764742257 	 3.21186352513 	 2058.44210556
7 	 3 	 -0.0208915899301 	 0.431734938413 	 3.9717014295 	 1902.34426596
7 	 4 	 -0.0266781028579 	 0.358844929986 	 4.52494210946 	 1778.2352092
7 	 5 	 -0.0488559095396 	 0.304748073057 	 4.65886209338 	 1678.0416173
7 	 6 	 -0.0490474276717 	 0.324018366546 	 4.58029594984 	 1780.87425709
7 	 7 	 -0.060267509687 	 0.308931158074 	 4.48789454658 	 1647.51804922
7 	 8 	 -0.0679326284027 	 0.285730164303 	 4.4350541445 	 1649.63441297
7 	 9 	 -0.0745929069291 	 0.286248294317 	 4.3005139802 	 1725.2253225
8 	 2 	 0.000441696165408 	 0.393387891784 	 5.06841377862 	 2195.66780058
8 	 3 	 -0.0144726459019 	 0.386964673879 	 4.73963183513 	 1643.75345369
8 	 4 	 -0.0313918813527 	 0.40557358309 	 4.27288709111 	 1836.89520697
8 	 5 	 -0.0445676374508 	 0.361180467471 	 4.32563129022 	 1824.28843092
8 	 6 	 -0.0499969718184 	 0.336802770677 	 4.60221457179 	 1791.87727113
8 	 7 	 -0.0573624469947 	 0.3425947426 	 4.38694139555 	 1677.04170791
8 	 8 	 -0.0555465737461 	 0.335318174478 	 4.5649572464 	 1693.48420381
8 	 9 	 -0.0687365648132 	 0.290197707032 	 4.73408399982 	 1696.1869066
9 	 2 	 0.000196977303235 	 0.540660723261 	 3.6470111637 	 2402.04329586
9 	 3 	 -0.00900585290809 	 0.422332104577 	 4.24556710988 	 1961.05163514
9 	 4 	 -0.023632769021 	 0.422287625071 	 4.14205135281 	 1767.46122875
9 	 5 	 -0.026911143363 	 0.285056293523 	 4.76942173993 	 1809.26510074
9 	 6 	 -0.0338703785822 	 0.326412996588 	 4.74839201716 	 1771.3052165
9 	 7 	 -0.0428556356962 	 0.337671793363 	 4.38705404824 	 1816.32319659
9 	 8 	 -0.0507573322447 	 0.330452371798 	 4.4299261105 	 1779.66378484
