Pair	 Nspec	 mean epoch	 epoch std
(0,0)	 27			 -1.69			 0.96
(0,1)	 51			 0.04			 1.84
(0,2)	 21			 1.77			 1.26
(0,3)	 8			 -0.08			 1.80
(0,4)	 41			 1.13			 1.69
(1,0)	 23			 -1.20			 1.31
(1,1)	 10			 -0.56			 1.73
(1,2)	 15			 -0.50			 1.53
(1,3)	 6			 0.42			 2.05
(1,4)	 4			 1.35			 1.33
(2,0)	 33			 0.28			 1.24
(2,1)	 11			 -0.09			 1.54
(2,2)	 11			 -0.05			 1.74
(2,3)	 6			 1.89			 0.79
(2,4)	 8			 0.99			 1.62
(3,0)	 30			 0.88			 1.58
(3,1)	 6			 1.21			 1.99
(3,2)	 23			 -0.54			 1.52
(3,3)	 5			 -1.31			 1.11
(3,4)	 10			 1.49			 2.19
(4,0)	 52			 0.38			 1.72
(4,1)	 9			 0.52			 1.80
(4,2)	 23			 -1.22			 1.56
(4,3)	 15			 -2.06			 1.36
(4,4)	 38			 0.25			 1.61
