PCS 	 groups 	 silhouette 	 dunn 	 davis 	 vrc 
2 	 2 	 -0.00185211331668 	 0.331506954801 	 5.26508572767 	 2821.02212221
2 	 3 	 -0.0545851023115 	 0.2977473919 	 5.3827313344 	 2016.82814839
2 	 4 	 -0.0704180411477 	 0.275268579029 	 5.55510142226 	 1578.72235446
2 	 5 	 -0.135666124549 	 0.233048139118 	 6.29259584077 	 1433.22715197
2 	 6 	 -0.14245932886 	 0.176776358807 	 7.2479263635 	 1406.27808985
2 	 7 	 -0.130266016125 	 0.141513172563 	 7.94353611707 	 1424.01264564
2 	 8 	 -0.138642421761 	 0.129555515131 	 8.03554052653 	 1440.20688127
2 	 9 	 -0.135984722942 	 0.132280405066 	 8.44728688896 	 1484.02478683
3 	 2 	 -0.00185211331668 	 0.331506954801 	 5.26508572767 	 2821.02212221
3 	 3 	 -0.0545851023115 	 0.2977473919 	 5.3827313344 	 2016.82814839
3 	 4 	 -0.0704180411477 	 0.275268579029 	 5.55510142226 	 1578.72235446
3 	 5 	 -0.135666124549 	 0.233048139118 	 6.29259584077 	 1433.22715197
3 	 6 	 -0.14245932886 	 0.176776358807 	 7.2479263635 	 1406.27808985
3 	 7 	 -0.130266016125 	 0.141513172563 	 7.94353611707 	 1424.01264564
3 	 8 	 -0.138642421761 	 0.129555515131 	 8.03554052653 	 1440.20688127
3 	 9 	 -0.135984722942 	 0.132280405066 	 8.44728688896 	 1484.02478683
4 	 2 	 -0.00185211331668 	 0.331506954801 	 5.26508572767 	 2821.02212221
4 	 3 	 -0.0545851023115 	 0.2977473919 	 5.3827313344 	 2016.82814839
4 	 4 	 -0.0704180411477 	 0.275268579029 	 5.55510142226 	 1578.72235446
4 	 5 	 -0.135666124549 	 0.233048139118 	 6.29259584077 	 1433.22715197
4 	 6 	 -0.14245932886 	 0.176776358807 	 7.2479263635 	 1406.27808985
4 	 7 	 -0.130266016125 	 0.141513172563 	 7.94353611707 	 1424.01264564
4 	 8 	 -0.138642421761 	 0.129555515131 	 8.03554052653 	 1440.20688127
4 	 9 	 -0.135984722942 	 0.132280405066 	 8.44728688896 	 1484.02478683
5 	 2 	 -0.00185211331668 	 0.331506954801 	 5.26508572767 	 2821.02212221
5 	 3 	 -0.0545851023115 	 0.2977473919 	 5.3827313344 	 2016.82814839
5 	 4 	 -0.0704180411477 	 0.275268579029 	 5.55510142226 	 1578.72235446
5 	 5 	 -0.135666124549 	 0.233048139118 	 6.29259584077 	 1433.22715197
5 	 6 	 -0.14245932886 	 0.176776358807 	 7.2479263635 	 1406.27808985
5 	 7 	 -0.130266016125 	 0.141513172563 	 7.94353611707 	 1424.01264564
5 	 8 	 -0.138642421761 	 0.129555515131 	 8.03554052653 	 1440.20688127
5 	 9 	 -0.135984722942 	 0.132280405066 	 8.44728688896 	 1484.02478683
6 	 2 	 -0.00185211331668 	 0.331506954801 	 5.26508572767 	 2821.02212221
6 	 3 	 -0.0545851023115 	 0.2977473919 	 5.3827313344 	 2016.82814839
6 	 4 	 -0.0704180411477 	 0.275268579029 	 5.55510142226 	 1578.72235446
6 	 5 	 -0.135666124549 	 0.233048139118 	 6.29259584077 	 1433.22715197
6 	 6 	 -0.14245932886 	 0.176776358807 	 7.2479263635 	 1406.27808985
6 	 7 	 -0.130266016125 	 0.141513172563 	 7.94353611707 	 1424.01264564
6 	 8 	 -0.138642421761 	 0.129555515131 	 8.03554052653 	 1440.20688127
6 	 9 	 -0.135984722942 	 0.132280405066 	 8.44728688896 	 1484.02478683
7 	 2 	 -0.00185211331668 	 0.331506954801 	 5.26508572767 	 2821.02212221
7 	 3 	 -0.0545851023115 	 0.2977473919 	 5.3827313344 	 2016.82814839
7 	 4 	 -0.0704180411477 	 0.275268579029 	 5.55510142226 	 1578.72235446
7 	 5 	 -0.135666124549 	 0.233048139118 	 6.29259584077 	 1433.22715197
7 	 6 	 -0.14245932886 	 0.176776358807 	 7.2479263635 	 1406.27808985
7 	 7 	 -0.130266016125 	 0.141513172563 	 7.94353611707 	 1424.01264564
7 	 8 	 -0.138642421761 	 0.129555515131 	 8.03554052653 	 1440.20688127
7 	 9 	 -0.135984722942 	 0.132280405066 	 8.44728688896 	 1484.02478683
8 	 2 	 -0.00185211331668 	 0.331506954801 	 5.26508572767 	 2821.02212221
8 	 3 	 -0.0545851023115 	 0.2977473919 	 5.3827313344 	 2016.82814839
8 	 4 	 -0.0704180411477 	 0.275268579029 	 5.55510142226 	 1578.72235446
8 	 5 	 -0.135666124549 	 0.233048139118 	 6.29259584077 	 1433.22715197
8 	 6 	 -0.14245932886 	 0.176776358807 	 7.2479263635 	 1406.27808985
8 	 7 	 -0.130266016125 	 0.141513172563 	 7.94353611707 	 1424.01264564
8 	 8 	 -0.138642421761 	 0.129555515131 	 8.03554052653 	 1440.20688127
8 	 9 	 -0.135984722942 	 0.132280405066 	 8.44728688896 	 1484.02478683
9 	 2 	 -0.00185211331668 	 0.331506954801 	 5.26508572767 	 2821.02212221
9 	 3 	 -0.0545851023115 	 0.2977473919 	 5.3827313344 	 2016.82814839
9 	 4 	 -0.0704180411477 	 0.275268579029 	 5.55510142226 	 1578.72235446
9 	 5 	 -0.135666124549 	 0.233048139118 	 6.29259584077 	 1433.22715197
9 	 6 	 -0.14245932886 	 0.176776358807 	 7.2479263635 	 1406.27808985
9 	 7 	 -0.130266016125 	 0.141513172563 	 7.94353611707 	 1424.01264564
9 	 8 	 -0.138642421761 	 0.129555515131 	 8.03554052653 	 1440.20688127
9 	 9 	 -0.135984722942 	 0.132280405066 	 8.44728688896 	 1484.02478683


*** Final results ****

Silhouette 	-0.00185211331668 	 7PC_2g
Dunn 	0.331506954801 	 7PC_2g
Davis  	5.26508572767 	 7PC_2g
vrc 	1406.27808985 	 3PC_6g
