PCS 	 groups 	 silhouette 	 dunn 	 davis 	 vrc 
2 	 2 	 0.352029634685 	 1.49247986455 	 1.29758886458 	 538.098332382
2 	 3 	 0.375656305196 	 1.66031521918 	 1.01215014203 	 1656.89695031
2 	 4 	 0.342870394325 	 1.3638465169 	 1.23464630668 	 2458.70646738
2 	 5 	 0.354787209604 	 1.32776051328 	 1.14564543568 	 3476.55278719
2 	 6 	 0.3394130871 	 1.14167543862 	 1.16079933386 	 4445.83768383
2 	 7 	 0.362929958467 	 1.02455304679 	 0.921235701395 	 5116.30505411
2 	 8 	 0.367704204039 	 1.64412674304 	 0.919046370294 	 6285.36486063
2 	 9 	 0.359153104642 	 1.2580456653 	 1.03296609661 	 6903.08913342
3 	 2 	 0.325585992328 	 1.13194134658 	 1.62055677418 	 544.502854979
3 	 3 	 0.28788503449 	 0.850623880578 	 1.4486966084 	 1053.93648064
3 	 4 	 0.288455865308 	 1.13808033663 	 1.48789585491 	 1187.54897229
3 	 5 	 0.297111444826 	 0.845224697226 	 1.46025144286 	 1606.01564219
3 	 6 	 0.300886388902 	 1.03441317399 	 1.38363267348 	 2174.64344174
3 	 7 	 0.317645150724 	 1.03460241261 	 1.34007132436 	 2715.33908902
3 	 8 	 0.298033192278 	 0.840422057541 	 1.46438910689 	 3066.82402803
3 	 9 	 0.311143621031 	 0.796553879196 	 1.33752483847 	 3405.84308247
4 	 2 	 0.290733707678 	 1.0076756541 	 1.8923415788 	 449.143047176
4 	 3 	 0.255997012879 	 0.788972149779 	 1.67475036881 	 866.966137931
4 	 4 	 0.25031867725 	 0.831284782686 	 1.78842061462 	 1141.22285577
4 	 5 	 0.260396290228 	 0.798184150189 	 1.66730360254 	 1305.60048659
4 	 6 	 0.285761548158 	 1.00441123419 	 1.38108514517 	 1649.28465427
4 	 7 	 0.282989768418 	 0.950278030248 	 1.48991695281 	 1858.24324683
4 	 8 	 0.308406820096 	 0.938454837414 	 1.41586646295 	 2481.81418491
4 	 9 	 0.312392923401 	 0.924837348858 	 1.22294278817 	 2856.22279263
5 	 2 	 0.249951622234 	 0.90878390602 	 2.12016021946 	 335.317320626
5 	 3 	 0.243443173167 	 0.718309928385 	 1.74825900153 	 801.275331459
5 	 4 	 0.241031197638 	 0.644729540355 	 2.00788043399 	 1163.32782759
5 	 5 	 0.252935811416 	 0.73683600422 	 1.80510982458 	 1212.80199455
5 	 6 	 0.249553852667 	 0.637351201405 	 1.82316039401 	 1535.98797803
5 	 7 	 0.283291185297 	 0.74688553245 	 1.68083683589 	 1835.51767818
5 	 8 	 0.284623653852 	 0.793904613347 	 1.55346402765 	 2024.82347247
5 	 9 	 0.294514275166 	 0.756074813057 	 1.53317412623 	 2273.59796405
6 	 2 	 0.264887580994 	 0.891003236326 	 2.08402730646 	 368.405220939
6 	 3 	 0.226484607489 	 0.64763628407 	 1.82722556782 	 706.652431581
6 	 4 	 0.228667269491 	 0.585267044402 	 2.20392814608 	 1089.85218665
6 	 5 	 0.24809537498 	 0.82410977088 	 1.68311020413 	 1318.27384451
6 	 6 	 0.243836195428 	 0.78995050481 	 1.75387405126 	 1331.56496827
6 	 7 	 0.269480676177 	 0.757038966159 	 1.70236473305 	 1675.09380128
6 	 8 	 0.282351036581 	 0.884167776225 	 1.4852450145 	 1980.07074786
6 	 9 	 0.263034494644 	 0.758465898921 	 1.56982614684 	 1949.41938385
7 	 2 	 0.237443126543 	 0.89807297907 	 2.16498017707 	 298.027002877
7 	 3 	 0.216411019255 	 0.625254570527 	 2.28398013281 	 668.414895673
7 	 4 	 0.216803480577 	 0.572660323249 	 2.23561534547 	 998.760920657
7 	 5 	 0.234631419928 	 0.772342068275 	 1.7934398051 	 1200.42090862
7 	 6 	 0.252597609127 	 0.802242568817 	 1.70202689833 	 1396.20544741
7 	 7 	 0.256725050926 	 0.736517283285 	 1.82433795334 	 1514.44518536
7 	 8 	 0.267619549584 	 0.831688788094 	 1.45634569156 	 1768.51343522
7 	 9 	 0.259600021057 	 0.798560580886 	 1.4861934089 	 2111.92583405
8 	 2 	 0.25516748136 	 0.832922186494 	 2.19987474937 	 331.103411946
8 	 3 	 0.206168564052 	 0.619059012599 	 1.94564321115 	 625.786825467
8 	 4 	 0.192910873701 	 0.582744840456 	 2.28755907622 	 750.338168801
8 	 5 	 0.225333971828 	 0.782844374444 	 1.73088191072 	 1122.92603518
8 	 6 	 0.225695810872 	 0.733617916488 	 1.90704441441 	 1117.62463404
8 	 7 	 0.247624588902 	 0.671650188113 	 1.69440829576 	 1433.3323943
8 	 8 	 0.254667193396 	 0.803083098326 	 1.6536694003 	 1607.16307946
8 	 9 	 0.259187336124 	 0.73031461955 	 1.64570706146 	 1986.00670695
9 	 2 	 0.247577266705 	 0.814658986775 	 2.27080622706 	 318.331634577
9 	 3 	 0.194191563484 	 0.606205901413 	 2.04905764008 	 581.849465958
9 	 4 	 0.196965804668 	 0.557063563744 	 2.54518999079 	 887.784795192
9 	 5 	 0.177414820532 	 0.548282118674 	 1.97457543336 	 852.624107781
9 	 6 	 0.213560717199 	 0.696243647464 	 1.99268759272 	 1057.94986825
9 	 7 	 0.230095359248 	 0.686678781232 	 1.89772382883 	 1286.5457657
9 	 8 	 0.239772944603 	 0.781988228243 	 1.72209122647 	 1435.66827647
9 	 9 	 0.249580865733 	 0.668395583037 	 1.83328313053 	 1684.50993295


*** Final results ****

Silhouette 	0.375656305196 	 2PC_3g
Dunn 	1.66031521918 	 2PC_3g
Davis  	0.919046370294 	 2PC_8g
vrc 	298.027002877 	 7PC_2g
