PCS 	 groups 	 quantile  	 silhouette 	 dunn 	 davis 	 vrc 
2 	 4		0.1 	 0.464776162237 	 1.19388876615 	 1.32872291791 	 5277.10641805
2 	 3		0.2 	 0.529701348413 	 1.16275552475 	 0.942508366046 	 4714.74351793
2 	 2		0.3 	 0.496899177245 	 2.31926211663 	 0.802200875995 	 3760.49474601
2 	 2		0.4 	 0.509074593261 	 2.04294951735 	 0.911307898529 	 3475.94039359
2 	 1		0.5 	 nan 	 nan 	 nan 	 nan
2 	 1		0.6 	 nan 	 nan 	 nan 	 nan
2 	 1		0.7 	 nan 	 nan 	 nan 	 nan
2 	 1		0.8 	 nan 	 nan 	 nan 	 nan
2 	 1		0.9 	 nan 	 nan 	 nan 	 nan
2 	 1		1.0 	 nan 	 nan 	 nan 	 nan
3 	 3		0.1 	 0.436059135425 	 1.26900770582 	 1.30794331503 	 3560.44116964
3 	 3		0.2 	 0.435776651234 	 1.15717505847 	 1.42293291368 	 3122.71842764
3 	 2		0.3 	 0.426206588944 	 1.38722433973 	 1.3601150093 	 2511.83028976
3 	 1		0.4 	 nan 	 nan 	 nan 	 nan
3 	 1		0.5 	 nan 	 nan 	 nan 	 nan
3 	 1		0.6 	 nan 	 nan 	 nan 	 nan
3 	 1		0.7 	 nan 	 nan 	 nan 	 nan
3 	 1		0.8 	 nan 	 nan 	 nan 	 nan
3 	 1		0.9 	 nan 	 nan 	 nan 	 nan
3 	 1		1.0 	 nan 	 nan 	 nan 	 nan
4 	 3		0.1 	 0.384303739001 	 1.16705849831 	 1.40930374096 	 3014.57237416
4 	 3		0.2 	 0.380454863804 	 0.877399908193 	 1.78293822486 	 2243.65071706
4 	 2		0.3 	 0.383830802176 	 1.10538247514 	 1.68802819348 	 1524.07346331
4 	 1		0.4 	 nan 	 nan 	 nan 	 nan
4 	 1		0.5 	 nan 	 nan 	 nan 	 nan
4 	 1		0.6 	 nan 	 nan 	 nan 	 nan
4 	 1		0.7 	 nan 	 nan 	 nan 	 nan
4 	 1		0.8 	 nan 	 nan 	 nan 	 nan
4 	 1		0.9 	 nan 	 nan 	 nan 	 nan
4 	 1		1.0 	 nan 	 nan 	 nan 	 nan


*** Final results ****

Silhouette 	0.529701348413 	 2PC_0.2q3g
Dunn 	2.31926211663 	 2PC_0.3q2g
Davis  	0.802200875995 	 2PC_0.3q2g
vrc 	1524.07346331 	 4PC_0.3q2g
