Pair	 Nspec	 mean epoch	 epoch std
(0,0)	 68			 -0.80			 1.55
(0,1)	 2			 2.42			 0.29
(0,2)	 5			 -2.09			 1.03
(0,3)	 2			 -1.00			 0.92
(0,4)	 5			 -1.25			 0.91
(0,5)	 4			 -1.03			 1.11
(0,6)	 4			 -0.78			 1.67
(0,7)	 2			 -1.65			 0.98
(0,8)	 3			 -1.26			 1.37
(0,9)	 57			 -1.08			 1.63
(1,0)	 7			 0.80			 1.26
(1,3)	 3			 -0.77			 1.01
(1,9)	 4			 -1.18			 1.40
(2,0)	 6			 0.42			 1.58
(2,3)	 2			 -0.25			 1.62
(2,6)	 2			 -0.09			 2.53
(2,9)	 5			 -1.01			 1.67
(3,0)	 13			 0.86			 1.79
(3,1)	 2			 -1.62			 0.11
(3,4)	 5			 0.82			 0.77
(3,8)	 2			 2.82			 0.19
(3,9)	 11			 -0.04			 1.20
(4,0)	 12			 1.10			 1.23
(4,4)	 5			 1.92			 2.09
(4,7)	 2			 2.50			 0.60
(4,9)	 17			 1.71			 1.65
(5,0)	 7			 1.49			 1.34
(5,6)	 3			 1.62			 0.80
(5,9)	 8			 -0.91			 2.00
(6,0)	 2			 -0.08			 3.69
(6,3)	 2			 -0.52			 0.71
(6,4)	 4			 -0.86			 1.63
(6,7)	 2			 0.44			 0.69
(6,9)	 3			 -0.54			 1.39
(7,0)	 7			 0.20			 2.05
(7,1)	 2			 2.03			 0.20
(7,4)	 3			 0.29			 1.04
(7,5)	 3			 -1.68			 2.25
(7,6)	 2			 -1.54			 0.13
(7,9)	 3			 0.44			 1.56
(8,0)	 11			 -0.69			 1.19
(8,3)	 5			 1.10			 1.16
(8,4)	 2			 2.13			 0.25
(8,9)	 4			 0.44			 2.31
(9,0)	 55			 0.04			 1.71
(9,1)	 3			 1.09			 1.44
(9,2)	 4			 2.13			 0.94
(9,3)	 9			 -0.17			 1.58
(9,4)	 9			 2.04			 2.29
(9,5)	 6			 1.40			 1.07
(9,6)	 9			 0.46			 1.13
(9,7)	 3			 -2.03			 1.04
(9,8)	 2			 0.70			 2.04
(9,9)	 40			 0.44			 1.90
