Pair	 Nspec	 mean epoch	 epoch std
(0,0)	 42			 0.00			 1.85
(0,1)	 14			 0.03			 1.19
(1,0)	 30			 0.76			 1.50
(1,1)	 16			 0.27			 1.48
(2,0)	 28			 -0.24			 1.72
(2,1)	 11			 -0.63			 0.87
(3,0)	 11			 -2.36			 0.60
(3,1)	 24			 -1.08			 1.42
(4,0)	 24			 -0.11			 1.62
(4,1)	 9			 -1.44			 1.14
(5,0)	 21			 -0.58			 1.80
(5,1)	 6			 0.16			 1.67
(6,0)	 26			 0.29			 1.73
(6,1)	 23			 0.18			 1.67
(7,0)	 15			 -0.49			 1.54
(7,1)	 24			 -0.14			 1.75
(8,0)	 12			 -0.73			 1.91
(8,1)	 23			 0.33			 1.39
(9,0)	 24			 0.58			 1.76
(9,1)	 17			 0.56			 1.81
(10,0)	 11			 0.26			 1.65
(10,1)	 16			 1.20			 1.76
(11,0)	 13			 0.48			 1.85
(11,1)	 16			 0.45			 1.65
(12,0)	 18			 -0.35			 1.71
(12,1)	 12			 1.24			 1.53
