Pair	 Nspec	 mean epoch	 epoch std
(0,0)	 20			 0.79			 1.22
(0,1)	 13			 -1.41			 1.20
(0,2)	 14			 1.11			 1.37
(0,3)	 12			 1.21			 1.56
(0,4)	 11			 0.37			 2.19
(1,0)	 16			 -0.48			 1.98
(1,1)	 29			 -0.33			 1.72
(1,2)	 21			 -0.63			 1.79
(1,3)	 13			 -0.74			 1.47
(1,4)	 9			 0.01			 1.88
(2,0)	 26			 -0.58			 1.62
(2,1)	 24			 0.06			 1.56
(2,2)	 27			 0.33			 1.66
(2,3)	 13			 0.18			 1.38
(2,4)	 14			 1.35			 1.42
(3,0)	 13			 -0.03			 1.95
(3,1)	 28			 0.71			 1.44
(3,2)	 32			 -0.43			 1.76
(3,3)	 23			 0.92			 1.60
(3,4)	 12			 0.81			 1.02
(4,0)	 36			 -1.32			 1.33
(4,1)	 11			 -0.88			 1.00
(4,2)	 19			 0.06			 1.55
(4,3)	 9			 0.49			 1.59
(4,4)	 41			 0.25			 1.85
