Pair	 Nspec	 mean epoch	 epoch std
(0,0)	 16			 1.78			 1.12
(0,1)	 22			 0.31			 1.61
(0,2)	 25			 -0.63			 1.67
(0,3)	 16			 0.35			 1.70
(0,4)	 17			 0.31			 1.56
(1,0)	 14			 0.55			 1.63
(1,1)	 10			 -0.69			 1.64
(1,2)	 15			 -0.16			 1.63
(1,3)	 22			 -0.85			 1.58
(1,4)	 18			 -0.94			 1.56
(2,0)	 18			 0.58			 1.56
(2,1)	 26			 0.36			 1.65
(2,2)	 31			 -0.28			 1.88
(2,3)	 18			 0.52			 1.57
(2,4)	 19			 -0.78			 1.86
(3,0)	 11			 1.27			 1.58
(3,1)	 17			 0.32			 2.02
(3,2)	 30			 0.18			 1.58
(3,3)	 11			 -0.54			 0.59
(3,4)	 26			 -1.32			 1.12
(4,0)	 28			 0.93			 1.66
(4,1)	 10			 0.73			 1.48
(4,2)	 30			 -0.42			 1.70
(4,3)	 26			 0.47			 1.43
(4,4)	 10			 -1.42			 1.38
