PCS 	 groups 	 silhouette 	 dunn 	 davis 	 vrc 
2 	 2 	 0.396514350826 	 1.08309064451 	 1.50495149456 	 1916.0827058
2 	 3 	 0.372834281675 	 0.970430516446 	 1.67081048116 	 2639.70884119
2 	 4 	 0.33564921474 	 0.916659143168 	 1.50006399699 	 3389.82200692
2 	 5 	 0.30953758737 	 0.866800879046 	 1.54728742766 	 3954.31772243
2 	 6 	 0.304259589616 	 0.847238362572 	 1.64780163656 	 4505.49226954
2 	 7 	 0.301394037654 	 0.750448611145 	 1.73615295846 	 5638.22640186
2 	 8 	 0.296522644776 	 0.854339373692 	 1.36648424824 	 7932.7316377
3 	 2 	 0.307497941464 	 0.897324420036 	 1.67843149728 	 1511.4402434
3 	 3 	 0.269103820217 	 0.715988334633 	 2.08712742691 	 1589.19790159
3 	 4 	 0.271446754057 	 1.03640811415 	 1.42314432913 	 2523.90573365
3 	 5 	 0.227140806478 	 1.07784316836 	 1.55925840403 	 2661.52748474
3 	 6 	 0.230628263443 	 0.946108715054 	 1.56702242301 	 2884.05583516
3 	 7 	 0.214735039781 	 0.723455704751 	 1.75896410346 	 3408.95083744
3 	 8 	 0.220449312817 	 0.793843151225 	 1.89445289002 	 3566.56818446
4 	 2 	 0.296605234348 	 0.881797678405 	 1.73914245237 	 1414.17414754
4 	 3 	 0.227723417929 	 0.637756998291 	 2.30556884839 	 1316.66424577
4 	 4 	 0.22510594592 	 0.821485099551 	 1.57283048038 	 2034.67830585
4 	 5 	 0.202627718992 	 0.886260282265 	 1.81440978117 	 2097.4132549
4 	 6 	 0.193268322189 	 0.797294669778 	 2.03488136443 	 2077.70931753
4 	 7 	 0.17543780694 	 0.633692059877 	 2.15186275212 	 2445.21625411
4 	 8 	 0.169160517092 	 0.633692059877 	 2.30199634144 	 2496.52831032


*** Final results ****

Silhouette 	0.396514350826 	 2PC_2g
Dunn 	1.08309064451 	 2PC_2g
Davis  	1.36648424824 	 2PC_8g
vrc 	1316.66424577 	 4PC_3g
