PCS 	 groups 	 silhouette 	 dunn 	 davis 	 vrc 
2 	 2 	 0.414631013281 	 1.24479442988 	 1.53575267877 	 2349.78059734
2 	 3 	 0.431788702078 	 2.01063926056 	 0.91874898639 	 3832.79331636
2 	 4 	 0.351832536102 	 1.12825591611 	 1.21259946903 	 3739.85132373
2 	 5 	 0.327051885838 	 1.12825591611 	 1.3453392165 	 5313.01338151
2 	 6 	 0.313959468006 	 1.2091372682 	 1.24077595765 	 6149.45988057
2 	 7 	 0.299455014856 	 1.09241176127 	 1.31577458839 	 6125.26622109
2 	 8 	 0.299105710781 	 0.836488886914 	 1.40969634316 	 6645.41228691
3 	 2 	 0.338321545131 	 1.12020883813 	 1.76011731548 	 1591.36768836
3 	 3 	 0.324671449146 	 1.19843565344 	 1.34160764967 	 1859.577838
3 	 4 	 0.316756348879 	 1.09321853135 	 1.45603297872 	 2575.61979035
3 	 5 	 0.281783717097 	 0.984141496155 	 1.60112333789 	 3069.91352555
3 	 6 	 0.25204823114 	 0.764477924943 	 1.71192846057 	 3213.50162998
3 	 7 	 0.250758069487 	 0.784537488115 	 1.74709426306 	 3375.91547232
3 	 8 	 0.254237276895 	 0.762230633586 	 1.74353143664 	 5419.39827289
4 	 2 	 0.295869860289 	 1.07397191439 	 1.83736992562 	 1646.17674029
4 	 3 	 0.237999225056 	 1.08375902134 	 1.58778211348 	 1715.60153205
4 	 4 	 0.230405868615 	 0.991174524091 	 1.62472351903 	 1653.47351592
4 	 5 	 0.219878452853 	 0.855647893556 	 1.70451943268 	 1702.15082863
4 	 6 	 0.242811297511 	 0.992655427262 	 1.45759309843 	 2644.2290692
4 	 7 	 0.245908907374 	 0.946346791276 	 1.40127492376 	 2858.13988148
4 	 8 	 0.236240764261 	 0.721742163655 	 1.75543761071 	 2857.83349845


*** Final results ****

Silhouette 	0.431788702078 	 2PC_3g
Dunn 	2.01063926056 	 2PC_3g
Davis  	0.91874898639 	 2PC_3g
vrc 	1591.36768836 	 3PC_2g
