comp 	 groups 	 silhouette 	 dunn 	 davis 	 vrc 
2 	 2 	 -0.000824237598009 	 0.370844624948 	 4.79210108825 	 1850.83238507
2 	 3 	 -0.00961958286857 	 0.375638806618 	 4.68291865694 	 1466.48357848
2 	 4 	 -0.0543746814922 	 0.353883487974 	 4.81878763759 	 2142.00900508
2 	 5 	 -0.106513200785 	 0.201636851799 	 7.23857469351 	 1791.98836776
2 	 6 	 -0.109842603685 	 0.144433628 	 7.88667723597 	 1731.02837469
2 	 7 	 -0.112191417189 	 0.144433628 	 8.75974103511 	 1532.45731004
2 	 8 	 -0.117719913161 	 0.144433628 	 8.98003556967 	 1392.01241479
3 	 2 	 0.00739912842229 	 0.511638766894 	 3.6114566143 	 2407.34808825
3 	 3 	 -0.0272677060454 	 0.475708229954 	 3.6094372102 	 1711.76875232
3 	 4 	 -0.0335369380896 	 0.369048194014 	 4.27392637666 	 1599.28489913
3 	 5 	 -0.0435462968658 	 0.255157946756 	 5.2945936216 	 1605.91943021
3 	 6 	 -0.0478788687545 	 0.251942014615 	 5.52927205345 	 1493.32093098
3 	 7 	 -0.0634443735927 	 0.25788724077 	 5.41779480411 	 1550.58927707
3 	 8 	 -0.0853395065593 	 0.249462710222 	 5.45155366206 	 1475.96170554
4 	 2 	 -0.0267623137312 	 0.804994977753 	 2.12538624586 	 3463.14670056
4 	 3 	 -0.0379228409357 	 0.372086637902 	 3.75537899558 	 2334.81127017
4 	 4 	 -0.0444422831388 	 0.352896584617 	 4.22822734928 	 2050.21589776
4 	 5 	 -0.0545840121023 	 0.286834772368 	 4.72466308194 	 1830.11522974
4 	 6 	 -0.0668164016356 	 0.286834772368 	 4.78282251297 	 1948.79441504
4 	 7 	 -0.0722059500968 	 0.282947092765 	 4.77579403388 	 1827.99570851
4 	 8 	 -0.0724052124708 	 0.257532048892 	 5.4265397115 	 1831.7277517
5 	 2 	 0.00285755309473 	 0.700193725922 	 2.65204201879 	 2452.14168927
5 	 3 	 -0.0138828768465 	 0.442829517499 	 3.69078139608 	 1957.84033051
5 	 4 	 -0.020092609176 	 0.451522002111 	 3.66463398477 	 1752.34384706
5 	 5 	 -0.0260313944633 	 0.246054844414 	 5.45190196865 	 1629.48495621
5 	 6 	 -0.037115750545 	 0.271203912983 	 5.33348981857 	 1540.50139247
5 	 7 	 -0.0451869212419 	 0.271203912983 	 5.03790180783 	 1653.36978347
5 	 8 	 -0.0609556391269 	 0.270808255355 	 4.91915605711 	 1653.64341458
6 	 2 	 -0.0015455054665 	 0.434308358138 	 4.30013907787 	 2156.98705846
6 	 3 	 -0.027316193772 	 0.452962337305 	 3.68319870961 	 1990.8126277
6 	 4 	 -0.0354684416178 	 0.387976591351 	 4.06976643185 	 1786.74174535
6 	 5 	 -0.0369641969121 	 0.320046927193 	 4.76355565074 	 1663.04651921
6 	 6 	 -0.0390971000913 	 0.310144410377 	 4.55240507354 	 1823.03431335
6 	 7 	 -0.0685291821325 	 0.310144410377 	 4.35294999769 	 1848.43547401
6 	 8 	 -0.0707977902483 	 0.303207292905 	 4.54313878342 	 1894.0058278
7 	 2 	 -0.00645623007018 	 0.561214077586 	 3.40595035242 	 2319.25704495
7 	 3 	 -0.0146534139247 	 0.302079349644 	 5.23030120531 	 1757.06549378
7 	 4 	 -0.0206462226065 	 0.318602326116 	 4.82280479532 	 1593.82464306
7 	 5 	 -0.0261879370532 	 0.31079377051 	 4.8544556372 	 1677.57097086
7 	 6 	 -0.0327918722555 	 0.251693674362 	 5.55482587981 	 1602.34161399
7 	 7 	 -0.0343510786768 	 0.251693674362 	 5.64994666547 	 1557.70504014
7 	 8 	 -0.0437604747059 	 0.251067008523 	 5.51060068516 	 1547.3456409
8 	 2 	 -0.00428213804521 	 0.45367798545 	 4.27608877458 	 2247.71488964
8 	 3 	 -0.0233444826107 	 0.407957505414 	 4.20426614605 	 1794.12316907
8 	 4 	 -0.0297688523829 	 0.385200897936 	 4.27802596433 	 1826.56538505
8 	 5 	 -0.0538728719644 	 0.385200897936 	 3.90783533919 	 1929.01938285
8 	 6 	 -0.0534473139979 	 0.289283591558 	 4.86582533207 	 1831.83882201
8 	 7 	 -0.0610093653143 	 0.289193331537 	 4.73201331854 	 1840.60227695
8 	 8 	 -0.0666354534807 	 0.295606415042 	 4.75030117067 	 1752.97532483
9 	 2 	 0.00237061160336 	 0.574553408145 	 3.38218084986 	 2382.93403891
9 	 3 	 -0.00860909026493 	 0.372760382237 	 4.6685275891 	 1896.53439151
9 	 4 	 -0.0145194284691 	 0.354686313567 	 4.91714404098 	 1700.96751949
9 	 5 	 -0.0373698966639 	 0.334579297069 	 4.49895785934 	 1614.3153292
9 	 6 	 -0.0413613248629 	 0.339006665001 	 4.67312342189 	 1625.54397081
9 	 7 	 -0.0451678248979 	 0.339006665001 	 4.5702114538 	 1634.47516265
9 	 8 	 -0.0565388464507 	 0.31812442016 	 4.44003818143 	 1692.66825689


*** Final results ****

Silhouette 	0.00739912842229 	 3PC_2g
Dunn 	0.804994977753 	 4PC_2g
Davis  	2.12538624586 	 4PC_2g
vrc 	1392.01241479 	 2PC_8g
