Pair	 Nspec	 mean epoch	 epoch std
(0,0)	 64			 0.28			 1.80
(0,1)	 29			 -1.22			 1.69
(0,2)	 17			 -0.90			 1.55
(0,3)	 6			 -2.46			 1.27
(0,4)	 73			 -0.52			 1.51
(1,0)	 20			 -0.17			 1.69
(1,1)	 7			 -0.54			 1.44
(1,2)	 2			 0.45			 1.76
(1,3)	 3			 -0.99			 0.60
(1,4)	 23			 -1.37			 1.61
(2,0)	 13			 0.65			 1.84
(2,1)	 4			 0.03			 1.32
(2,2)	 3			 1.96			 0.84
(2,3)	 3			 -2.44			 0.62
(2,4)	 18			 0.31			 1.40
(3,0)	 9			 -0.98			 1.81
(3,1)	 2			 0.99			 2.17
(3,2)	 3			 -1.79			 0.91
(3,3)	 4			 0.27			 2.41
(3,4)	 11			 0.13			 1.33
(4,0)	 81			 0.76			 1.72
(4,1)	 19			 1.08			 1.93
(4,2)	 23			 0.93			 1.67
(4,3)	 13			 0.29			 1.59
(4,4)	 36			 1.15			 1.54
