#Regenerated by NED personnel from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [mJy]
 4589.940                   9.430200
 4593.840                   8.544000
 4597.970                   6.918900
 4602.060                   5.367700
 4605.700                   5.368200
 4609.490                   4.851400
 4613.110                   4.925700
 4616.740                   4.926200
 4620.420                   4.778900
 4624.320                   3.892600
 4628.220                   3.006400
 4631.860                   3.006800
 4635.500                   3.007300
 4639.400                   2.121100
 4643.030                   2.121500
 4646.930                   1.235300
 4650.860                   0.275200
 4654.540                   0.127900
 4658.170                   0.128300
 4661.590                   0.867600
 4665.220                   0.868100
 4669.080                   0.129700
 4672.720                   0.130100
 4676.420                  -0.091100
 4680.010                   0.057100
 4683.650                   0.057600
 4687.150                   0.501300
 4690.440                   1.684000
 4694.010                   1.906100
 4697.640                   1.906600
 4701.210                   2.128700
 4704.890                   1.981300
 4708.530                   1.981800
 4712.500                   0.873900
 4716.240                   0.504900
 4719.990                   0.135900
 4723.620                   0.136400
 4727.260                   0.136800
 4730.660                   0.950000
 4734.290                   0.950500
 4737.910                   1.024800
 4741.610                   0.803600
 4745.310                   0.582400
 4748.950                   0.582800
 4752.600                   0.509400
 4756.810                  -1.411300
 4760.320                  -0.967500
 4763.950                  -0.967000
 4767.520                  -0.744900
 4771.010                  -0.227300
 4774.640                  -0.226800
 4778.280                  -0.226400
 4781.780                   0.217400
 4785.420                   0.217900
 4789.060                   0.218300
 4792.670                   0.292700
 4795.970                   1.401500
 4799.610                   1.401900
 4803.250                   1.402300
 4807.040                   0.885600
 4810.780                   0.516600
 4814.420                   0.517000
 4817.900                   1.034700
 4821.450                   1.330700
 4825.090                   1.331100
 4828.990                   0.444900
 4832.760                   0.002000
 4836.390                   0.002500
 4840.030                   0.002900
 4843.360                   1.037800
 4846.990                   1.038300
 4850.670                   0.890900
 4854.310                   0.891400
 4858.060                   0.522400
 4861.760                   0.301200
 4865.390                   0.301600
 4869.030                   0.302100
 4872.560                   0.672000
 4876.240                   0.524600
 4879.870                   0.525100
 4883.640                   0.082200
 4887.300                   0.008700
 4890.940                   0.009200
 4894.640                  -0.212000
 4897.920                   0.970600
 4901.450                   1.340500
 4905.080                   1.341000
 4908.760                   1.193700
 4912.600                   0.529100
 4916.240                   0.529500
 4920.000                   0.086700
 4924.010                  -1.169000
 4927.780                  -1.611900
 4931.420                  -1.611500
 4935.190                  -2.054300
 4938.650                  -1.462800
 4942.390                  -1.831800
 4946.030                  -1.831300
 4949.730                  -2.052500
 4953.520                  -2.569300
 4957.160                  -2.568900
 4960.750                  -2.420600
 4963.810                  -0.499100
 4967.450                  -0.498600
 4971.090                  -0.498200
 4974.970                  -1.310500
 4978.600                  -1.310100
 4982.240                  -1.309600
 4985.430                   0.168600
 4989.050                   0.242900
 4993.570                  -2.712200
 4997.200                  -2.711700
 5001.410                  -4.632400
 5005.050                  -4.631900
 5008.680                  -4.631500
 5013.510                  -8.621000
 5016.660                  -6.995000
 5017.430                   2.610900
 5021.070                   2.611400
 5022.880                   8.744700
 5024.150                  16.651300
 5027.130                  18.868400
 5030.770                  18.868800
 5034.380                  18.943100
 5037.530                  20.569100
 5041.170                  20.569600
 5046.570                  14.658900
 5052.230                   7.861600
 5056.110                   7.049200
 5059.750                   7.049700
 5065.740                  -0.856000
 5069.420                  -1.003300
 5073.060                  -1.002900
 5076.080                   1.066500
 5079.710                   1.066900
 5083.350                   1.067400
 5086.980                   1.067800
 5091.100                  -0.557300
 5094.760                  -0.630700
 5098.400                  -0.630300
 5101.880                  -0.112600
 5105.320                   0.552800
 5108.870                   0.848800
 5112.500                   0.849300
 5116.210                   0.628100
 5120.000                   0.111300
 5123.870                  -0.701000
 5127.510                  -0.700600
 5131.080                  -0.478500
 5134.520                   0.187000
 5138.160                   0.187400
 5141.510                   1.148400
 5144.880                   2.035600
 5148.540                   1.962100
 5152.170                   1.962600
 5156.120                   0.928500
