#Regenerated by NED personnel from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [Jy]
 3466.670                   0.001100
 3480.340                   0.000300
 3494.020                  -0.000300
 3507.690                  -0.000400
 3521.370                  -0.000200
 3535.040                   0.000700
 3548.720                   0.001200
 3562.390                   0.001600
 3576.070                   0.001200
 3589.740                   0.000100
 3603.420                   0.000200
 3617.090                   0.000600
 3630.770                   0.000300
 3644.440                  -0.000200
 3658.120                  -0.000100
 3671.800                   0.000400
 3685.470                   0.001200
 3699.150                   0.000700
 3712.820                  -0.000400
 3726.500                  -0.001200
 3740.170                  -0.001100
 3753.850                  -0.001200
 3767.520                  -0.001300
 3781.200                  -0.001100
 3794.870                  -0.000800
 3808.550                  -0.001500
 3822.220                  -0.001600
 3835.900                  -0.001200
 3849.570                  -0.001000
 3863.250                  -0.000700
 3876.920                  -0.000800
 3890.600                  -0.000700
 3904.270                  -0.000100
 3917.950                   0.000400
 3931.620                   0.000200
 3945.300                  -0.000100
 3958.970                  -0.001200
 3972.650                  -0.002200
 3986.320                  -0.002800
 4000.000                  -0.002800
 4013.680                  -0.001800
 4027.350                  -0.001500
 4041.030                  -0.001200
 4054.700                  -0.001200
 4068.380                  -0.000700
 4082.050                  -0.000400
 4095.730                   0.001000
 4109.400                   0.001500
 4123.080                   0.001200
 4136.750                   0.001000
 4150.430                   0.001000
 4164.100                   0.000700
 4177.780                  -0.000500
 4191.450                  -0.001500
 4205.130                  -0.001500
 4218.800                  -0.000700
 4232.480                  -0.000100
 4246.150                  -0.000200
 4259.830                  -0.000400
 4273.500                  -0.000100
 4287.180                   0.000400
 4300.850                   0.000700
 4314.530                   0.000400
 4328.200                   0.000400
 4341.880                   0.000400
 4355.560                   0.000900
 4369.230                   0.001400
 4382.910                   0.001300
 4396.580                   0.001800
 4410.260                   0.002300
 4423.930                   0.001800
 4437.610                   0.001300
 4451.280                   0.002500
 4464.960                   0.002900
 4478.630                   0.001900
 4492.310                   0.000600
 4505.980                   0.000600
 4519.660                   0.001000
 4533.330                   0.000700
 4547.010                   0.000400
 4560.680                   0.000500
 4574.360                   0.000800
 4588.030                   0.000700
 4601.710                   0.000400
 4615.380                   0.000200
 4629.060                  -0.000200
 4642.730                  -0.000300
 4656.410                  -0.000200
 4670.080                   0.000100
 4683.760                  -0.000200
 4697.440                  -0.000400
 4711.110                   0.000100
 4724.790                   0.001600
 4738.460                   0.002200
 4752.140                   0.003400
 4765.810                   0.003700
 4779.490                   0.003200
 4793.160                   0.002600
 4806.840                   0.002300
 4820.510                   0.002600
 4834.190                   0.002900
 4847.860                   0.001200
 4861.540                   0.000800
 4875.210                  -0.000400
 4888.890                  -0.000700
 4902.560                  -0.000700
 4916.240                  -0.000600
 4929.910                  -0.000900
 4943.590                  -0.000400
 4957.260                   0.000100
 4970.940                  -0.000100
 4984.610                  -0.000700
 4998.290                  -0.000300
 5011.960                   0.000100
 5025.640                   0.000000
 5039.320                   0.000100
 5052.990                  -0.000100
 5066.670                   0.000000
 5080.340                   0.000600
 5094.020                   0.001000
 5107.690                   0.001100
 5121.370                   0.000400
 5135.040                  -0.000400
 5148.720                  -0.000600
 5162.390                   0.000100
 5176.070                  -0.000200
 5189.740                  -0.000700
 5203.420                  -0.000100
 5217.090                  -0.000400
 5230.770                  -0.000700
 5244.440                  -0.001000
 5258.120                  -0.001800
 5271.790                  -0.002000
 5285.470                  -0.001500
 5299.140                  -0.001600
 5312.820                  -0.001000
 5326.490                  -0.001000
 5340.170                  -0.000500
 5353.840                   0.000100
 5367.520                   0.000100
 5381.200                  -0.000200
 5394.870                  -0.000500
 5408.550                  -0.001200
 5422.220                  -0.001500
 5435.900                  -0.001000
 5449.570                  -0.000800
 5463.250                  -0.000500
 5476.920                  -0.000400
 5490.600                  -0.000400
 5504.270                   0.000800
 5517.950                   0.001100
 5531.620                   0.001000
 5545.300                   0.000600
 5558.970                  -0.000600
 5572.650                  -0.000700
 5586.320                  -0.002000
 5600.000                  -0.001800
 5613.670                  -0.001800
 5627.350                  -0.001400
 5641.020                  -0.000300
 5654.700                   0.000100
 5668.370                   0.000800
 5682.050                   0.001000
 5695.720                   0.001300
 5709.400                   0.000700
 5723.080                   0.000500
 5736.750                  -0.000100
 5750.430                  -0.000400
 5764.100                  -0.000600
 5777.780                  -0.000400
 5791.450                  -0.000800
 5805.130                  -0.001000
 5818.800                  -0.000700
 5832.480                  -0.000900
 5846.150                   0.001200
 5859.830                   0.001500
 5873.500                   0.001300
 5887.180                   0.001100
 5900.850                   0.001200
 5914.530                   0.000100
 5928.200                  -0.000200
 5941.880                  -0.000700
 5955.550                  -0.000400
 5969.230                  -0.000300
 5982.900                  -0.000400
 5996.580                  -0.001000
