#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#             [km/s]               [mJy]               [mJy]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
                4495              -1.039                       |         1.39942321e+09     -1.03900000e-29                    
              4503.7             -0.9629                       |         1.39938320e+09     -9.62900000e-30                    
              4512.3              -1.319                       |         1.39934365e+09     -1.31900000e-29                    
              4520.9               -1.48                       |         1.39930411e+09     -1.48000000e-29                    
              4529.6              -1.763                       |         1.39926410e+09     -1.76300000e-29                    
              4538.2              -2.234                       |         1.39922456e+09     -2.23400000e-29                    
              4546.8              -2.285                       |         1.39918502e+09     -2.28500000e-29                    
              4555.4              -1.836                       |         1.39914548e+09     -1.83600000e-29                    
              4564.1              -1.191                       |         1.39910549e+09     -1.19100000e-29                    
              4572.7             -0.8469                       |         1.39906596e+09     -8.46900000e-30                    
              4581.3              -1.109                       |         1.39902643e+09     -1.10900000e-29                    
                4590               -1.52                       |         1.39898644e+09     -1.52000000e-29                    
              4598.6              -1.421                       |         1.39894691e+09     -1.42100000e-29                    
              4607.2              -1.008                       |         1.39890739e+09     -1.00800000e-29                    
              4615.9              -1.373                       |         1.39886741e+09     -1.37300000e-29                    
              4624.5               -2.22                       |         1.39882789e+09     -2.22000000e-29                    
              4633.2              -1.901                       |         1.39878791e+09     -1.90100000e-29                    
              4641.8             -0.7709                       |         1.39874840e+09     -7.70900000e-30                    
              4650.4              -1.952                       |         1.39870889e+09     -1.95200000e-29                    
              4659.1              -9.753                       |         1.39866892e+09     -9.75300000e-29                    
              4667.7              -19.35                       |         1.39862941e+09     -1.93500000e-28                    
              4676.3              -15.27                       |         1.39858990e+09     -1.52700000e-28                    
                4685               2.654                       |         1.39854994e+09      2.65400000e-29                    
              4693.6               11.92                       |         1.39851044e+09      1.19200000e-28                    
              4702.3               1.873                       |         1.39847048e+09      1.87300000e-29                    
              4710.9              -5.158                       |         1.39843099e+09     -5.15800000e-29                    
              4719.5               3.882                       |         1.39839149e+09      3.88200000e-29                    
