#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             3791.67         4.30612e-16         3.82352e-17   |         7.90660735e+14      2.06503059e-30      1.83359631e-31
             3794.42         3.65592e-16         3.62758e-17   |         7.90087705e+14      1.75576659e-30      1.74215622e-31
             3797.17         4.66568e-16         3.86059e-17   |         7.89515505e+14      2.24395595e-30      1.85674840e-31
             3799.92          3.8441e-16         3.61208e-17   |         7.88944133e+14      1.85149643e-30      1.73974486e-31
             3802.67         4.12356e-16         3.66784e-17   |         7.88373588e+14      1.98897301e-30      1.76915936e-31
             3805.42         4.15799e-16         3.64313e-17   |         7.87803867e+14      2.00848193e-30      1.75978316e-31
             3808.17         4.38747e-16         3.68518e-17   |         7.87234969e+14      2.12239449e-30      1.78266877e-31
             3810.92         4.49572e-16         3.71287e-17   |         7.86666891e+14      2.17790140e-30      1.79865845e-31
             3813.67         4.40092e-16         3.68233e-17   |         7.86099634e+14      2.13505462e-30      1.78643913e-31
             3816.42         4.81476e-16         3.77648e-17   |         7.85533193e+14      2.33919413e-30      1.83475809e-31
             3819.17         4.78869e-16         3.72753e-17   |         7.84967569e+14      2.32988239e-30      1.81358712e-31
             3821.92         5.06785e-16         3.79078e-17   |         7.84402758e+14      2.46925665e-30      1.84701771e-31
             3824.67         4.30454e-16         3.57397e-17   |         7.83838760e+14      2.10036118e-30      1.74388618e-31
             3827.42         5.16435e-16         3.80898e-17   |         7.83275572e+14      2.52352265e-30      1.86123080e-31
             3830.17          5.3071e-16         3.86394e-17   |         7.82713193e+14      2.59700429e-30      1.89080077e-31
             3832.92         5.66855e-16         3.95507e-17   |         7.82151621e+14      2.77786277e-30      1.93817497e-31
             3835.67         6.14794e-16         4.00459e-17   |         7.81590854e+14      3.01711169e-30      1.96525914e-31
             3838.42          5.9375e-16         3.91659e-17   |         7.81030890e+14      2.91801759e-30      1.92483006e-31
             3841.17         5.45761e-16         3.78363e-17   |         7.80471729e+14      2.68601758e-30      1.86215151e-31
             3843.92         5.28409e-16         3.71345e-17   |         7.79913367e+14      2.60434301e-30      1.83022953e-31
             3846.67         4.88232e-16         3.62547e-17   |         7.79355804e+14      2.40976891e-30      1.78942488e-31
             3849.42         4.56118e-16         3.51757e-17   |         7.78799037e+14      2.25448372e-30      1.73865191e-31
             3852.17         4.59052e-16         3.47283e-17   |         7.78243066e+14      2.27222885e-30      1.71899142e-31
             3854.92         4.87885e-16          3.5064e-17   |         7.77687887e+14      2.41839647e-30      1.73808693e-31
             3857.67         4.79276e-16         3.44623e-17   |         7.77133500e+14      2.37911330e-30      1.71069939e-31
             3860.42           5.168e-16         3.48413e-17   |         7.76579903e+14      2.56904029e-30      1.73197955e-31
             3863.17          5.2106e-16         3.49285e-17   |         7.76027094e+14      2.59390861e-30      1.73878895e-31
             3865.92         5.61554e-16         3.58764e-17   |         7.75475072e+14      2.79947469e-30      1.78852032e-31
             3868.67         5.01252e-16         3.40594e-17   |         7.74923834e+14      2.50241184e-30      1.70035522e-31
             3871.42         4.82816e-16          3.3526e-17   |         7.74373380e+14      2.41380136e-30      1.67610652e-31
             3874.17         4.52159e-16         3.27017e-17   |         7.73823707e+14      2.26374666e-30      1.63721974e-31
             3876.92         4.43383e-16         3.21545e-17   |         7.73274814e+14      2.22296186e-30      1.61211024e-31
             3879.67         3.69757e-16         3.00493e-17   |         7.72726698e+14      1.85645862e-30      1.50870117e-31
