#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             4336.17         8.29222e-16         2.75113e-17   |         6.91376166e+14      5.20071090e-30      1.72545250e-31
             4338.92         8.55803e-16         2.77735e-17   |         6.90937973e+14      5.37423169e-30      1.74410728e-31
             4341.67         8.83909e-16         2.80577e-17   |         6.90500335e+14      5.55776876e-30      1.76418849e-31
             4344.42         8.76738e-16         2.80024e-17   |         6.90063251e+14      5.51966518e-30      1.76294255e-31
             4347.17         8.24731e-16         2.71651e-17   |         6.89626720e+14      5.19882098e-30      1.71239461e-31
             4349.92         8.19039e-16         2.71152e-17   |         6.89190741e+14      5.16947474e-30      1.71141229e-31
             4352.67         8.03166e-16         2.68178e-17   |         6.88755313e+14      5.07570176e-30      1.69478233e-31
             4355.42         8.32702e-16         2.73845e-17   |         6.88320435e+14      5.26900955e-30      1.73278306e-31
             4358.17         7.71209e-16         2.66253e-17   |         6.87886106e+14      4.88607038e-30      1.68687204e-31
             4360.92         7.31491e-16         2.59546e-17   |         6.87452324e+14      4.64028358e-30      1.64645504e-31
             4363.67         6.70485e-16         2.48017e-17   |         6.87019089e+14      4.25865209e-30      1.57530462e-31
             4366.42         6.39549e-16         2.41495e-17   |         6.86586400e+14      4.06728060e-30      1.53581341e-31
             4369.17         6.47322e-16         2.41351e-17   |         6.86154256e+14      4.12190093e-30      1.53683161e-31
             4371.92          7.0461e-16         2.49755e-17   |         6.85722655e+14      4.49233889e-30      1.59234768e-31
             4374.67         7.78873e-16         2.59373e-17   |         6.85291597e+14      4.97206206e-30      1.65574959e-31
             4377.42         8.62574e-16         2.70609e-17   |         6.84861080e+14      5.51330597e-30      1.72964895e-31
             4380.17         8.94815e-16           2.744e-17   |         6.84431104e+14      5.72656882e-30      1.75608420e-31
             4382.92         9.34517e-16         2.78819e-17   |         6.84001668e+14      5.98816266e-30      1.78660584e-31
             4385.67         8.52574e-16          2.6757e-17   |         6.83572770e+14      5.46994904e-30      1.71667710e-31
             4388.42         8.63464e-16         2.68244e-17   |         6.83144410e+14      5.54676674e-30      1.72316031e-31
             4391.17         8.63502e-16         2.68017e-17   |         6.82716586e+14      5.55396508e-30      1.72386058e-31
             4393.92         9.02557e-16         2.73323e-17   |         6.82289297e+14      5.81243655e-30      1.76019088e-31
             4396.67         8.57852e-16         2.67842e-17   |         6.81862544e+14      5.53145526e-30      1.72705320e-31
             4399.42         8.33784e-16         2.64564e-17   |         6.81436323e+14      5.38299160e-30      1.70805123e-31
             4402.17         8.24624e-16         2.64313e-17   |         6.81010636e+14      5.33051151e-30      1.70856474e-31
             4404.92         8.53073e-16         2.69086e-17   |         6.80585479e+14      5.52130251e-30      1.74159211e-31
             4407.67         8.70813e-16         2.72303e-17   |         6.80160854e+14      5.64315972e-30      1.76461459e-31
             4410.42         9.21458e-16           2.791e-17   |         6.79736757e+14      5.97880981e-30      1.81091902e-31
             4413.17         9.00682e-16         2.75696e-17   |         6.79313190e+14      5.85129634e-30      1.79106388e-31
             4415.92         9.27747e-16          2.7928e-17   |         6.78890150e+14      6.03463835e-30      1.81660927e-31
             4418.67          9.6344e-16         2.83406e-17   |         6.78467636e+14      6.27461532e-30      1.84574403e-31
             4421.42         9.69912e-16         2.84914e-17   |         6.78045648e+14      6.32463069e-30      1.85787559e-31
             4424.17         1.01444e-15         2.90687e-17   |         6.77624185e+14      6.62322142e-30      1.89787899e-31
             4426.92         9.86044e-16         2.85883e-17   |         6.77203245e+14      6.44583134e-30      1.86883506e-31
             4429.67         1.00007e-15         2.88031e-17   |         6.76782828e+14      6.54564491e-30      1.88521669e-31
             4432.42         9.31247e-16         2.78297e-17   |         6.76362933e+14      6.10275583e-30      1.82376817e-31
             4435.17         9.26812e-16         2.78027e-17   |         6.75943558e+14      6.08123079e-30      1.82426032e-31
             4437.92         9.47696e-16         2.80845e-17   |         6.75524703e+14      6.22597370e-30      1.84503636e-31
             4440.67         9.56285e-16         2.82649e-17   |         6.75106367e+14      6.29018821e-30      1.85918989e-31
             4443.42         8.79052e-16         2.72378e-17   |         6.74688548e+14      5.78933383e-30      1.79384970e-31
             4446.17         8.59274e-16         2.69486e-17   |         6.74271247e+14      5.66608512e-30      1.77700083e-31
             4448.92         8.53997e-16         2.68686e-17   |         6.73854461e+14      5.63825655e-30      1.77391794e-31
             4451.67         9.10155e-16         2.74564e-17   |         6.73438191e+14      6.01645372e-30      1.81496734e-31
             4454.42         9.19575e-16          2.7654e-17   |         6.73022434e+14      6.08623586e-30      1.83028863e-31
             4457.17         9.25815e-16         2.76394e-17   |         6.72607190e+14      6.13510367e-30      1.83158174e-31
             4459.92         9.89471e-16         2.84592e-17   |         6.72192459e+14      6.56502680e-30      1.88823534e-31
             4462.67         1.00421e-15         2.85726e-17   |         6.71778238e+14      6.67103753e-30      1.89809788e-31
             4465.42         9.50111e-16         2.79955e-17   |         6.71364528e+14      6.31943525e-30      1.86205348e-31
             4468.17         9.60229e-16         2.81297e-17   |         6.70951327e+14      6.39460157e-30      1.87328464e-31
             4470.92         9.39936e-16         2.77939e-17   |         6.70538634e+14      6.26716858e-30      1.85320125e-31
             4473.67          9.8702e-16         2.83997e-17   |         6.70126449e+14      6.58920682e-30      1.89592406e-31
             4476.42         1.03158e-15         2.89699e-17   |         6.69714770e+14      6.89515231e-30      1.93636822e-31
             4479.17         1.03011e-15         2.88592e-17   |         6.69303596e+14      6.89378906e-30      1.93133973e-31
             4481.92         1.03925e-15         2.91114e-17   |         6.68892928e+14      6.96349919e-30      1.95061064e-31
             4484.67         1.07607e-15         2.94481e-17   |         6.68482762e+14      7.21906251e-30      1.97559336e-31
             4487.42         1.01225e-15         2.85965e-17   |         6.68073100e+14      6.79924232e-30      1.92081534e-31
             4490.17         1.05711e-15         2.91774e-17   |         6.67663939e+14      7.10927059e-30      1.96223696e-31
             4492.92         1.00455e-15         2.84955e-17   |         6.67255279e+14      6.76407205e-30      1.91872595e-31
             4495.67          1.0264e-15         2.87329e-17   |         6.66847120e+14      6.91966052e-30      1.93708022e-31
             4498.42         1.01596e-15         2.85825e-17   |         6.66439459e+14      6.85765935e-30      1.92929887e-31
             4501.17         1.03914e-15         2.87821e-17   |         6.66032296e+14      7.02270118e-30      1.94514779e-31
             4503.92         1.06097e-15         2.90488e-17   |         6.65625631e+14      7.17899640e-30      1.96557142e-31
             4506.67          1.0974e-15         2.93431e-17   |         6.65219461e+14      7.43456851e-30      1.98791040e-31
             4509.42         1.09117e-15         2.94088e-17   |         6.64813788e+14      7.40138654e-30      1.99479363e-31
             4512.17         1.05198e-15         2.88072e-17   |         6.64408608e+14      7.14426715e-30      1.95637115e-31
             4514.92         1.04061e-15         2.87191e-17   |         6.64003923e+14      7.07566739e-30      1.95276616e-31
             4517.67         1.02237e-15         2.83974e-17   |         6.63599730e+14      6.96011477e-30      1.93324494e-31
             4520.42         9.96014e-16         2.80517e-17   |         6.63196028e+14      6.78894537e-30      1.91203596e-31
             4523.17         9.95185e-16         2.80419e-17   |         6.62792818e+14      6.79155056e-30      1.91369426e-31
             4525.92         1.00724e-15         2.81751e-17   |         6.62390097e+14      6.88217967e-30      1.92512311e-31
             4528.67         9.71236e-16         2.77269e-17   |         6.61987866e+14      6.64424163e-30      1.89680184e-31
             4531.42          1.0332e-15         2.84162e-17   |         6.61586123e+14      7.07672513e-30      1.94631859e-31
             4534.17         1.08258e-15         2.90727e-17   |         6.61184867e+14      7.42394752e-30      1.99370207e-31
             4536.92         1.08207e-15         2.91387e-17   |         6.60784098e+14      7.42945395e-30      2.00065273e-31
             4539.67         1.11938e-15         2.95164e-17   |         6.60383814e+14      7.69494299e-30      2.02904300e-31
             4542.42         1.09918e-15         2.92003e-17   |         6.59984015e+14      7.56523961e-30      2.00974605e-31
             4545.17         1.06267e-15         2.87216e-17   |         6.59584700e+14      7.32281359e-30      1.97919319e-31
             4547.92         1.11179e-15         2.92197e-17   |         6.59185867e+14      7.67057097e-30      2.01595429e-31
             4550.67         1.11183e-15         2.91371e-17   |         6.58787517e+14      7.68012644e-30      2.01268730e-31
             4553.42         1.08181e-15         2.87419e-17   |         6.58389648e+14      7.48179335e-30      1.98778858e-31
             4556.17         1.11129e-15         2.90491e-17   |         6.57992259e+14      7.69496311e-30      2.01146193e-31
             4558.92         1.12181e-15         2.92438e-17   |         6.57595349e+14      7.77718707e-30      2.02738880e-31
             4561.67         1.04988e-15         2.82317e-17   |         6.57198918e+14      7.28730064e-30      1.95958477e-31
             4564.42         1.14009e-15         2.93171e-17   |         6.56802965e+14      7.92299955e-30      2.03737749e-31
             4567.17         1.20526e-15         2.99193e-17   |         6.56407489e+14      8.38599103e-30      2.08173325e-31
             4569.92         1.15395e-15         2.93245e-17   |         6.56012488e+14      8.03865670e-30      2.04280591e-31
             4572.67         1.20071e-15         2.98485e-17   |         6.55617963e+14      8.37446639e-30      2.08181210e-31
             4575.42         1.20334e-15         2.98861e-17   |         6.55223912e+14      8.40290747e-30      2.08694245e-31
             4578.17         1.13531e-15         2.90614e-17   |         6.54830334e+14      7.93738762e-30      2.03179393e-31
             4580.92         1.13176e-15         2.89934e-17   |         6.54437229e+14      7.92207685e-30      2.02947571e-31
             4583.67         1.13607e-15         2.91557e-17   |         6.54044595e+14      7.96179651e-30      2.04328739e-31
             4586.42         1.12549e-15         2.89113e-17   |         6.53652433e+14      7.89711717e-30      2.02859131e-31
             4589.17          1.1092e-15         2.86998e-17   |         6.53260740e+14      7.79215259e-30      2.01616679e-31
             4591.92         1.05668e-15         2.79919e-17   |         6.52869516e+14      7.43209769e-30      1.96879410e-31
             4594.67         1.05962e-15         2.80655e-17   |         6.52478761e+14      7.46170529e-30      1.97633576e-31
             4597.42         1.08038e-15          2.8306e-17   |         6.52088474e+14      7.61700417e-30      1.99565819e-31
             4600.17         1.09387e-15          2.8436e-17   |         6.51698652e+14      7.72134166e-30      2.00722272e-31
             4602.92          1.0779e-15         2.80724e-17   |         6.51309297e+14      7.61771326e-30      1.98392702e-31
             4605.67         1.12675e-15         2.86944e-17   |         6.50920407e+14      7.97246271e-30      2.03030871e-31
             4608.42         1.12929e-15         2.86425e-17   |         6.50531981e+14      7.99997967e-30      2.02905735e-31
             4611.17         1.07696e-15         2.80695e-17   |         6.50144018e+14      7.63837782e-30      1.99083946e-31
             4613.92         1.09562e-15         2.82363e-17   |         6.49756517e+14      7.77999589e-30      2.00505922e-31
             4616.67         1.12873e-15         2.85962e-17   |         6.49369478e+14      8.02466716e-30      2.03303702e-31
             4619.42         1.14795e-15         2.87865e-17   |         6.48982900e+14      8.17103684e-30      2.04900520e-31
             4622.17         1.19392e-15         2.92869e-17   |         6.48596782e+14      8.50836969e-30      2.08710611e-31
             4624.92         1.19113e-15         2.92008e-17   |         6.48211124e+14      8.49859060e-30      2.08344718e-31
             4627.67         1.20116e-15         2.92712e-17   |         6.47825923e+14      8.58034836e-30      2.09095452e-31
             4630.42         1.22234e-15         2.95371e-17   |         6.47441180e+14      8.74202592e-30      2.11245720e-31
             4633.17         1.19439e-15         2.91721e-17   |         6.47056894e+14      8.55228028e-30      2.08883175e-31
             4635.92         1.20268e-15         2.93025e-17   |         6.46673064e+14      8.62186563e-30      2.10066034e-31
             4638.67          1.1975e-15           2.905e-17   |         6.46289689e+14      8.59491869e-30      2.08503038e-31
             4641.42         1.20964e-15         2.92384e-17   |         6.45906768e+14      8.69234937e-30      2.10104153e-31
             4644.17         1.18419e-15         2.89525e-17   |         6.45524300e+14      8.51955483e-30      2.08296313e-31
             4646.92         1.16877e-15         2.88435e-17   |         6.45142286e+14      8.41857806e-30      2.07757947e-31
             4649.67           1.163e-15         2.87029e-17   |         6.44760723e+14      8.38693490e-30      2.06989986e-31
             4652.42         1.16736e-15         2.87444e-17   |         6.44379611e+14      8.42833777e-30      2.07534533e-31
             4655.17         1.18272e-15         2.89285e-17   |         6.43998950e+14      8.54933485e-30      2.09110722e-31
             4657.92         1.17324e-15         2.87847e-17   |         6.43618738e+14      8.49083120e-30      2.08317164e-31
             4660.67         1.19098e-15         2.90457e-17   |         6.43238974e+14      8.62939744e-30      2.10454323e-31
             4663.42         1.23083e-15         2.94403e-17   |         6.42859659e+14      8.92866298e-30      2.13565250e-31
             4666.17         1.23047e-15         2.94173e-17   |         6.42480790e+14      8.93658190e-30      2.13650159e-31
             4668.92         1.22106e-15          2.9263e-17   |         6.42102368e+14      8.87869557e-30      2.12780100e-31
             4671.67         1.19624e-15          2.8994e-17   |         6.41724392e+14      8.70847141e-30      2.11072544e-31
             4674.42         1.23096e-15         2.93586e-17   |         6.41346860e+14      8.97178173e-30      2.13978481e-31
             4677.17         1.25537e-15          2.9515e-17   |         6.40969772e+14      9.16046147e-30      2.15371580e-31
             4679.92         1.30788e-15         3.00469e-17   |         6.40593128e+14      9.55485394e-30      2.19510766e-31
             4682.67         1.29738e-15         2.99314e-17   |         6.40216925e+14      9.48928740e-30      2.18924029e-31
             4685.42          1.2455e-15         2.93561e-17   |         6.39841165e+14      9.12053011e-30      2.14968442e-31
             4688.17          1.2703e-15         2.96404e-17   |         6.39465845e+14      9.31305776e-30      2.17305170e-31
             4690.92         1.25668e-15         2.93884e-17   |         6.39090965e+14      9.22401609e-30      2.15710503e-31
             4693.67          1.2726e-15         2.95475e-17   |         6.38716525e+14      9.35182387e-30      2.17132654e-31
             4696.42         1.26971e-15         2.94949e-17   |         6.38342523e+14      9.34152313e-30      2.17000174e-31
             4699.17         1.24932e-15         2.92123e-17   |         6.37968958e+14      9.20227699e-30      2.15172795e-31
             4701.92         1.21921e-15         2.88554e-17   |         6.37595831e+14      8.99100591e-30      2.12792769e-31
             4704.67         1.19851e-15         2.85681e-17   |         6.37223140e+14      8.84869630e-30      2.10920594e-31
             4707.42         1.19098e-15            2.85e-17   |         6.36850884e+14      8.80338429e-30      2.10663867e-31
             4710.17         1.15296e-15         2.80793e-17   |         6.36479063e+14      8.53231145e-30      2.07796743e-31
             4712.92         1.13623e-15         2.78465e-17   |         6.36107676e+14      8.41832490e-30      2.06314641e-31
             4715.67         1.15911e-15         2.80874e-17   |         6.35736722e+14      8.59786773e-30      2.08342392e-31
             4718.42         1.19654e-15         2.84953e-17   |         6.35366201e+14      8.88586497e-30      2.11614646e-31
             4721.17         1.20289e-15           2.853e-17   |         6.34996111e+14      8.94343773e-30      2.12119378e-31
             4723.92         1.20901e-15         2.85709e-17   |         6.34626452e+14      8.99941454e-30      2.12671006e-31
             4726.67         1.21534e-15         2.86187e-17   |         6.34257223e+14      9.05706850e-30      2.13274908e-31
             4729.42         1.19498e-15         2.83737e-17   |         6.33888424e+14      8.91570519e-30      2.11695212e-31
             4732.17         1.15568e-15         2.78758e-17   |         6.33520053e+14      8.63251952e-30      2.08222335e-31
             4734.92         1.14989e-15         2.77483e-17   |         6.33152110e+14      8.59925612e-30      2.07510926e-31
             4737.67            1.14e-15         2.77278e-17   |         6.32784595e+14      8.53520115e-30      2.07598553e-31
             4740.42         1.15815e-15         2.78819e-17   |         6.32417505e+14      8.68115980e-30      2.08994715e-31
             4743.17         1.17952e-15         2.80783e-17   |         6.32050842e+14      8.85160419e-30      2.10711135e-31
             4745.92         1.19767e-15         2.82598e-17   |         6.31684603e+14      8.99823422e-30      2.12319169e-31
             4748.67         1.18614e-15         2.81277e-17   |         6.31318788e+14      8.92193855e-30      2.11571662e-31
             4751.42          1.1768e-15         2.79706e-17   |         6.30953397e+14      8.86193985e-30      2.10633731e-31
             4754.17         1.19037e-15         2.80862e-17   |         6.30588429e+14      8.97450871e-30      2.11749159e-31
             4756.92         1.17713e-15         2.79681e-17   |         6.30223882e+14      8.88495882e-30      2.11102781e-31
             4759.67         1.19702e-15          2.8131e-17   |         6.29859757e+14      9.04553771e-30      2.12577920e-31
             4762.42         1.20244e-15         2.81833e-17   |         6.29496052e+14      9.09699796e-30      2.13219306e-31
             4765.17         1.17279e-15         2.78577e-17   |         6.29132768e+14      8.88293221e-30      2.10999463e-31
             4767.92          1.1369e-15         2.74664e-17   |         6.28769902e+14      8.62103646e-30      2.08275869e-31
             4770.67         1.13353e-15         2.74451e-17   |         6.28407454e+14      8.60540009e-30      2.08354491e-31
             4773.42         1.16382e-15         2.77578e-17   |         6.28045424e+14      8.84554118e-30      2.10971424e-31
             4776.17         1.16463e-15         2.77434e-17   |         6.27683812e+14      8.86189952e-30      2.11105006e-31
             4778.92         1.18267e-15         2.79454e-17   |         6.27322615e+14      9.00953542e-30      2.12887002e-31
             4781.67         1.19615e-15         2.80373e-17   |         6.26961833e+14      9.12271572e-30      2.13832979e-31
             4784.42         1.23892e-15         2.84945e-17   |         6.26601467e+14      9.45978256e-30      2.17569959e-31
             4787.17         1.28232e-15         2.89848e-17   |         6.26241514e+14      9.80242238e-30      2.21568136e-31
             4789.92         1.23621e-15         2.84623e-17   |         6.25881975e+14      9.46080450e-30      2.17824039e-31
             4792.67          1.2291e-15         2.83984e-17   |         6.25522848e+14      9.41719509e-30      2.17584634e-31
             4795.42         1.21992e-15         2.83062e-17   |         6.25164134e+14      9.35758859e-30      2.17127168e-31
             4798.17         1.18412e-15         2.79537e-17   |         6.24805830e+14      9.09339956e-30      2.14669259e-31
             4800.92          1.1918e-15          2.8033e-17   |         6.24447937e+14      9.16287190e-30      2.15525078e-31
             4803.67         1.22736e-15         2.83591e-17   |         6.24090454e+14      9.44707995e-30      2.18282073e-31
             4806.42         1.25672e-15         2.86578e-17   |         6.23733380e+14      9.68414444e-30      2.20833817e-31
             4809.17         1.26579e-15         2.87639e-17   |         6.23376714e+14      9.76520162e-30      2.21905121e-31
             4811.92         1.26004e-15         2.87157e-17   |         6.23020455e+14      9.73196245e-30      2.21786700e-31
             4814.67         1.29847e-15         2.91845e-17   |         6.22664604e+14      1.00402440e-29      2.25665207e-31
             4817.42         1.28132e-15         2.90414e-17   |         6.22309159e+14      9.91895508e-30      2.24815301e-31
             4820.17         1.25491e-15         2.88389e-17   |         6.21954120e+14      9.72560409e-30      2.23502661e-31
             4822.92         1.24658e-15         2.88038e-17   |         6.21599485e+14      9.67207302e-30      2.23485422e-31
             4825.67         1.24868e-15         2.87726e-17   |         6.21245255e+14      9.69941833e-30      2.23498001e-31
             4828.42         1.24829e-15         2.87361e-17   |         6.20891428e+14      9.70744341e-30      2.23468957e-31
             4831.17         1.22467e-15         2.85288e-17   |         6.20538004e+14      9.53461178e-30      2.22109656e-31
             4833.92         1.22517e-15         2.84989e-17   |         6.20184982e+14      9.54936662e-30      2.22129537e-31
             4836.67         1.24969e-15         2.86732e-17   |         6.19832362e+14      9.75156914e-30      2.23742442e-31
             4839.42         1.25126e-15         2.86425e-17   |         6.19480142e+14      9.77492619e-30      2.23757112e-31
             4842.17         1.29841e-15          2.9157e-17   |         6.19128323e+14      1.01547962e-29      2.28035361e-31
             4844.92         1.29852e-15         2.90716e-17   |         6.18776902e+14      1.01671951e-29      2.27625782e-31
             4847.67         1.29703e-15         2.89894e-17   |         6.18425881e+14      1.01670606e-29      2.27239915e-31
             4850.42         1.27441e-15         2.86906e-17   |         6.18075257e+14      1.00010859e-29      2.25152938e-31
             4853.17         1.24682e-15         2.83198e-17   |         6.17725031e+14      9.79566816e-30      2.22495118e-31
             4855.92            1.22e-15         2.79906e-17   |         6.17375202e+14      9.59582177e-30      2.20158040e-31
             4858.67         1.24309e-15         2.81485e-17   |         6.17025768e+14      9.78851192e-30      2.21650828e-31
             4861.42         1.28784e-15         2.85211e-17   |         6.16676730e+14      1.01523713e-29      2.24839108e-31
             4864.17         1.31261e-15         2.87325e-17   |         6.16328087e+14      1.03593497e-29      2.26761959e-31
             4866.92         1.28982e-15         2.84329e-17   |         6.15979837e+14      1.01910004e-29      2.24651265e-31
             4869.67         1.26056e-15          2.8114e-17   |         6.15631981e+14      9.97107266e-30      2.22382700e-31
             4872.42         1.25648e-15         2.80682e-17   |         6.15284518e+14      9.95002817e-30      2.22271250e-31
             4875.17         1.24486e-15         2.78747e-17   |         6.14937446e+14      9.86914061e-30      2.20988170e-31
             4877.92         1.22154e-15          2.7611e-17   |         6.14590766e+14      9.69519024e-30      2.19144602e-31
             4880.67         1.18955e-15         2.71874e-17   |         6.14244477e+14      9.45193847e-30      2.16025919e-31
             4883.42         1.24095e-15         2.77023e-17   |         6.13898577e+14      9.87146782e-30      2.20365335e-31
             4886.17         1.23996e-15         2.75394e-17   |         6.13553067e+14      9.87470470e-30      2.19316303e-31
             4888.92         1.27194e-15         2.78483e-17   |         6.13207946e+14      1.01407898e-29      2.22026006e-31
             4891.67         1.24088e-15         2.74646e-17   |         6.12863212e+14      9.90429079e-30      2.19213288e-31
             4894.42         1.22773e-15         2.73121e-17   |         6.12518866e+14      9.81035295e-30      2.18241259e-31
             4897.17         1.19927e-15         2.70343e-17   |         6.12174907e+14      9.59371088e-30      2.16264276e-31
             4899.92         1.20013e-15          2.6969e-17   |         6.11831334e+14      9.61137598e-30      2.15984267e-31
             4902.67         1.20808e-15          2.6977e-17   |         6.11488146e+14      9.68590742e-30      2.16290912e-31
             4905.42         1.19671e-15         2.68616e-17   |         6.11145343e+14      9.60551403e-30      2.15607353e-31
             4908.17         1.20685e-15         2.69788e-17   |         6.10802925e+14      9.69776785e-30      2.16790934e-31
             4910.92         1.16637e-15         2.65273e-17   |         6.10460889e+14      9.38299220e-30      2.13401793e-31
             4913.67         1.17183e-15         2.65542e-17   |         6.10119237e+14      9.43747643e-30      2.13857502e-31
             4916.42         1.16684e-15         2.64561e-17   |         6.09777966e+14      9.40781043e-30      2.13306000e-31
             4919.17         1.14369e-15         2.61799e-17   |         6.09437078e+14      9.23147892e-30      2.11315300e-31
             4921.92         1.14039e-15         2.61702e-17   |         6.09096570e+14      9.21513702e-30      2.11473249e-31
             4924.67          1.0983e-15         2.57507e-17   |         6.08756443e+14      8.88494098e-30      2.08315988e-31
             4927.42         1.09252e-15         2.56732e-17   |         6.08416695e+14      8.84805586e-30      2.07921052e-31
             4930.17         1.08865e-15         2.56832e-17   |         6.08077326e+14      8.82655765e-30      2.08234277e-31
             4932.92         1.04238e-15         2.52271e-17   |         6.07738336e+14      8.46084054e-30      2.04764549e-31
             4935.67          1.0625e-15         2.54369e-17   |         6.07399723e+14      8.63376979e-30      2.06697731e-31
             4938.42         1.07211e-15         2.55606e-17   |         6.07061487e+14      8.72157035e-30      2.07934420e-31
             4941.17         1.04885e-15         2.52493e-17   |         6.06723628e+14      8.54185648e-30      2.05630831e-31
             4943.92         1.09124e-15         2.57815e-17   |         6.06386145e+14      8.89697647e-30      2.10198855e-31
             4946.67         1.13386e-15         2.62619e-17   |         6.06049037e+14      9.25474822e-30      2.14353864e-31
             4949.42         1.15919e-15         2.66092e-17   |         6.05712304e+14      9.47201854e-30      2.17430133e-31
             4952.17         1.15744e-15         2.66078e-17   |         6.05375944e+14      9.46823160e-30      2.17660365e-31
             4954.92         1.10478e-15         2.60884e-17   |         6.05039958e+14      9.04749586e-30      2.13648592e-31
             4957.67         1.10557e-15         2.60814e-17   |         6.04704345e+14      9.06401826e-30      2.13828419e-31
             4960.42         1.17013e-15         2.67965e-17   |         6.04369104e+14      9.60395927e-30      2.19934960e-31
             4963.17         1.22208e-15         2.73985e-17   |         6.04034234e+14      1.00414686e-29      2.25125342e-31
             4965.92         1.25656e-15         2.77535e-17   |         6.03699735e+14      1.03362252e-29      2.28295049e-31
             4968.67         1.23753e-15         2.75946e-17   |         6.03365607e+14      1.01909657e-29      2.27239438e-31
             4971.42         1.22968e-15         2.75476e-17   |         6.03031848e+14      1.01375338e-29      2.27103577e-31
             4974.17         1.28225e-15         2.80404e-17   |         6.02698458e+14      1.05826212e-29      2.31422056e-31
             4976.92         1.24361e-15         2.76605e-17   |         6.02365437e+14      1.02750708e-29      2.28539168e-31
             4979.67         1.22588e-15         2.75205e-17   |         6.02032783e+14      1.01397765e-29      2.27633797e-31
             4982.42         1.22738e-15         2.75016e-17   |         6.01700497e+14      1.01633997e-29      2.27728783e-31
             4985.17         1.20285e-15         2.72878e-17   |         6.01368577e+14      9.97127546e-30      2.26207898e-31
             4987.92         1.15904e-15          2.6836e-17   |         6.01037023e+14      9.61870662e-30      2.22708113e-31
             4990.67         1.15345e-15         2.68349e-17   |         6.00705835e+14      9.58287397e-30      2.22944614e-31
             4993.42         1.16201e-15         2.68655e-17   |         6.00375012e+14      9.66463271e-30      2.23444884e-31
             4996.17         1.18904e-15         2.71587e-17   |         6.00044552e+14      9.90034149e-30      2.26132346e-31
             4998.92         1.21325e-15         2.73279e-17   |         5.99714456e+14      1.01130457e-29      2.27791717e-31
             5001.67         1.26055e-15         2.77825e-17   |         5.99384724e+14      1.05188786e-29      2.31835900e-31
             5004.42         1.24366e-15         2.76273e-17   |         5.99055353e+14      1.03893521e-29      2.30794386e-31
             5007.17         1.21832e-15         2.73277e-17   |         5.98726344e+14      1.01888541e-29      2.28542540e-31
             5009.92         1.21745e-15          2.7277e-17   |         5.98397697e+14      1.01927650e-29      2.28369174e-31
             5012.67         1.22427e-15         2.73332e-17   |         5.98069410e+14      1.02611192e-29      2.29090987e-31
             5015.42         1.27423e-15          2.7813e-17   |         5.97741483e+14      1.06915762e-29      2.33368238e-31
             5018.17         1.28776e-15         2.79077e-17   |         5.97413916e+14      1.08169536e-29      2.34419687e-31
             5020.92         1.30873e-15         2.80949e-17   |         5.97086707e+14      1.10051498e-29      2.36250855e-31
             5023.67         1.27317e-15         2.77105e-17   |         5.96759857e+14      1.07178555e-29      2.33273746e-31
             5026.42         1.26145e-15         2.76141e-17   |         5.96433364e+14      1.06308230e-29      2.32716801e-31
             5029.17         1.23186e-15         2.73151e-17   |         5.96107228e+14      1.03928170e-29      2.30448944e-31
             5031.92         1.24786e-15         2.74747e-17   |         5.95781449e+14      1.05393206e-29      2.32049005e-31
             5034.67          1.2453e-15         2.74107e-17   |         5.95456026e+14      1.05291983e-29      2.31761579e-31
             5037.42         1.23576e-15         2.72702e-17   |         5.95130958e+14      1.04599535e-29      2.30825584e-31
             5040.17         1.24793e-15         2.73971e-17   |         5.94806245e+14      1.05745012e-29      2.32152979e-31
             5042.92          1.2151e-15         2.70506e-17   |         5.94481885e+14      1.03075506e-29      2.29467062e-31
             5045.67         1.19947e-15         2.69101e-17   |         5.94157880e+14      1.01860633e-29      2.28524251e-31
             5048.42         1.19788e-15          2.6862e-17   |         5.93834227e+14      1.01836524e-29      2.28364503e-31
             5051.17         1.16984e-15         2.65894e-17   |         5.93510927e+14      9.95611107e-30      2.26293356e-31
             5053.92         1.13804e-15         2.62841e-17   |         5.93187979e+14      9.69602103e-30      2.23938690e-31
             5056.67          1.1293e-15         2.61426e-17   |         5.92865382e+14      9.63203049e-30      2.22975578e-31
             5059.42         1.18781e-15         2.67236e-17   |         5.92543135e+14      1.01420965e-29      2.28179027e-31
             5062.17         1.18892e-15         2.67347e-17   |         5.92221239e+14      1.01626128e-29      2.28522024e-31
             5064.92          1.2483e-15         2.73185e-17   |         5.91899692e+14      1.06817755e-29      2.33765989e-31
             5067.67         1.22156e-15         2.70613e-17   |         5.91578495e+14      1.04643137e-29      2.31816639e-31
             5070.42         1.19309e-15         2.68126e-17   |         5.91257645e+14      1.02315250e-29      2.29935535e-31
             5073.17         1.21218e-15         2.69988e-17   |         5.90937144e+14      1.04065132e-29      2.31783538e-31
             5075.92         1.22559e-15         2.70947e-17   |         5.90616990e+14      1.05330475e-29      2.32859081e-31
             5078.67         1.19273e-15         2.67253e-17   |         5.90297182e+14      1.02617499e-29      2.29933300e-31
