#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 4364.0515     6.140843e-01
 4367.9979     6.155489e-01
 4371.9443     6.403295e-01
 4375.8908     6.475493e-01
 4379.8372     6.079069e-01
 4383.7836     5.791330e-01
 4387.7300     5.368891e-01
 4391.6765     5.798012e-01
 4395.6229     5.271983e-01
 4399.5693     5.626696e-01
 4403.5157     5.923603e-01
 4407.4622     5.861577e-01
 4411.4086     5.610155e-01
 4415.3550     6.151057e-01
 4419.3014     6.407614e-01
 4423.2479     6.357246e-01
 4427.1943     5.895281e-01
 4431.1407     6.481240e-01
 4435.0871     6.638926e-01
 4439.0336     6.383157e-01
 4442.9800     6.517850e-01
 4446.9264     6.589276e-01
 4450.8728     6.862547e-01
 4454.8193     6.871494e-01
 4458.7657     6.765549e-01
 4462.7121     6.325987e-01
 4466.6585     6.337199e-01
 4470.6050     6.384798e-01
 4474.5514     6.441970e-01
 4478.4978     7.022794e-01
 4482.4442     7.540392e-01
 4486.3907     7.111477e-01
 4490.3371     7.080332e-01
 4494.2835     7.516037e-01
 4498.2299     7.384428e-01
 4502.1764     7.073418e-01
 4506.1228     7.376898e-01
 4510.0692     7.837062e-01
 4514.0156     7.668245e-01
 4517.9621     7.597349e-01
 4521.9085     7.345337e-01
 4525.8549     7.327439e-01
 4529.8013     7.190247e-01
 4533.7478     6.936328e-01
 4537.6942     6.959730e-01
 4541.6406     6.483139e-01
 4545.5870     6.896399e-01
 4549.5335     7.275596e-01
 4553.4799     7.272660e-01
 4557.4263     7.201542e-01
 4561.3727     7.643734e-01
 4565.3191     7.677007e-01
 4569.2656     8.217280e-01
 4573.2120     8.448686e-01
 4577.1584     8.192560e-01
 4581.1048     8.323627e-01
 4585.0513     8.133454e-01
 4588.9977     8.028563e-01
 4592.9441     8.048314e-01
 4596.8905     8.068283e-01
 4600.8370     8.178040e-01
 4604.7834     8.060177e-01
 4608.7298     8.272529e-01
 4612.6762     8.462514e-01
 4616.6227     8.330124e-01
 4620.5691     8.819476e-01
 4624.5155     8.906462e-01
 4628.4619     8.897726e-01
 4632.4084     9.130540e-01
 4636.3548     8.571149e-01
 4640.3012     8.774998e-01
 4644.2476     8.614476e-01
 4648.1941     7.983542e-01
 4652.1405     8.011695e-01
 4656.0869     8.472980e-01
 4660.0333     8.524171e-01
 4663.9798     8.372191e-01
 4667.9262     8.215125e-01
 4671.8726     8.303210e-01
 4675.8190     8.310248e-01
 4679.7655     8.059721e-01
 4683.7119     8.605940e-01
 4687.6583     8.344473e-01
 4691.6047     8.091322e-01
 4695.5512     8.144751e-01
 4699.4976     8.469857e-01
 4703.4440     8.216067e-01
 4707.3904     8.083372e-01
 4711.3369     8.340081e-01
 4715.2833     8.182009e-01
 4719.2297     8.538205e-01
