#Regenerated by NED personnel from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [mJy]
 5815.880                   2.717700
 5823.260                   3.017000
 5830.430                   2.916200
 5837.440                   2.515500
 5844.500                   2.214800
 5851.560                   1.914100
 5858.570                   1.513400
 5865.640                   1.212700
 5872.810                   1.112000
 5879.920                   0.911300
 5886.980                   0.610600
 5894.150                   0.509900
 5901.370                   0.509200
 5908.750                   0.808400
 5916.070                   1.007700
 5923.610                   1.606900
 5930.980                   1.906200
 5938.460                   2.405500
 5945.630                   2.304700
 5952.800                   2.204000
 5960.120                   2.403300
 5967.500                   2.702500
 5974.820                   2.901800
 5982.300                   3.401100
 5989.570                   3.500300
 5996.850                   3.599600
 6004.070                   3.598900
