#Regenerated by B.F. Madore from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [Jy]
 3101.055                  -0.002120
 3103.166                  -0.002120
 3105.277                  -0.003180
 3107.388                  -0.003180
 3109.499                  -0.003180
 3111.609                  -0.002120
 3113.720                  -0.001060
 3115.831                   0.001060
 3117.942                   0.002120
 3120.053                   0.004240
 3122.164                   0.005300
 3124.274                   0.007421
 3126.385                   0.008481
 3128.496                   0.010601
 3130.607                   0.010601
 3132.718                   0.010601
 3134.828                   0.010601
 3136.939                   0.009541
 3139.050                   0.009541
 3141.161                   0.008481
 3143.272                   0.007421
 3145.383                   0.007421
 3147.493                   0.006360
 3149.604                   0.006360
 3151.715                   0.005300
 3153.826                   0.004240
 3155.937                   0.004240
 3158.047                   0.003180
 3160.158                   0.003180
 3162.269                   0.002120
 3164.380                   0.001060
 3166.491                   0.000000
 3168.602                   0.000000
 3170.712                   0.000000
 3172.823                   0.000000
 3174.934                   0.000000
 3177.045                   0.000000
 3179.156                   0.000000
 3181.266                   0.000000
 3183.377                   0.000000
 3185.488                   0.000000
 3187.599                   0.001060
 3189.710                   0.002120
 3191.821                   0.002120
 3193.931                   0.002120
 3196.042                   0.003180
 3198.153                   0.003180
 3200.264                   0.003180
 3202.375                   0.004240
 3204.485                   0.004240
 3206.596                   0.004240
 3208.707                   0.004240
 3210.818                   0.004240
 3212.929                   0.004240
 3215.040                   0.004240
 3217.150                   0.004240
 3219.261                   0.004240
 3221.372                   0.004240
 3223.483                   0.004240
 3225.594                   0.004240
 3227.704                   0.004240
 3229.815                   0.004240
 3231.926                   0.004240
 3234.037                   0.003180
 3236.148                   0.003180
 3238.259                   0.003180
 3240.369                   0.004240
 3242.480                   0.004240
 3244.591                   0.004240
 3246.702                   0.005300
 3248.813                   0.005300
 3250.923                   0.005300
 3253.034                   0.004240
 3255.145                   0.004240
 3257.256                   0.003180
 3259.367                   0.003180
 3261.478                   0.002120
 3263.588                   0.001060
 3265.699                   0.000000
 3267.810                  -0.001060
