#Wavelength     Flux   Variance  Subtracted Sky
#[Angstrom]   [Counts]     [Counts]    [Counts]
4276.97    118.416800    270.301700    38.734330
4281.28    132.471200    277.281200    37.966450
4285.59    125.679100    266.752900    37.554730
4289.90    154.140600    285.045300    33.653850
4294.21    153.203500    288.770400    39.893390
4298.52    147.998900    268.584600    34.079480
4302.83    134.274800    266.922900    35.050680
4307.14    139.279800    279.860800    39.583620
4311.45    148.455600    287.765200    44.204070
4315.76    123.334400    281.320700    43.531960
4320.08    121.245300    271.808300    41.280190
4324.39    161.562900    294.165800    40.358880
4328.70    190.227200    310.732100    39.789740
4333.01    155.654500    285.639200    39.800200
4337.32    178.505300    303.357800    39.268470
4341.63    155.099800    288.823300    36.222170
4345.94    131.283700    281.173700    42.716630
4350.25    105.658000    265.425700    40.833480
4354.56    150.947900    296.638500    44.167610
4358.87    178.889100    314.496500    44.403830
4363.18    147.382500    286.502700    46.261590
4367.49    169.178300    307.219300    41.746980
4371.80    128.215400    283.203600    42.041190
4376.11    145.182200    294.642800    44.823690
4380.42    146.411200    289.194900    41.288690
4384.73    153.402500    289.708900    40.850230
4389.04    185.480800    318.034300    44.643760
4393.35    161.410200    297.264700    45.381410
4397.67    213.773900    331.526300    42.066700
4401.98    160.276200    307.284400    51.495110
4406.29    174.643400    322.930300    52.978180
4410.60    145.546900    319.994500    55.253330
4414.91    145.846000    312.611300    52.430030
4419.22    160.201000    321.644100    50.272670
4423.53    178.466700    336.443900    53.015120
4427.84    173.382100    329.431300    50.534520
4432.15    187.307700    336.375700    50.825560
4436.46    167.983900    319.001600    49.321170
4440.77    148.558400    306.940500    49.398790
4445.08    150.987500    309.657500    49.284780
4449.39    185.583400    323.012400    46.946380
4453.70    165.421500    305.041700    45.478730
4458.01    168.661000    305.075500    43.487100
4462.32    168.502500    314.894000    42.317520
4466.63    172.147900    318.563300    43.032190
4470.94    142.261400    296.534900    43.291570
4475.25    139.111000    291.100100    43.176630
4479.57    135.815300    294.323200    44.575800
4483.88    150.035300    307.150900    44.790750
4488.19    129.034600    290.354600    48.316220
4492.50    158.758900    310.203200    48.931300
4496.81    186.002600    331.770300    48.823020
4501.12    187.048100    328.521400    49.426460
4505.43    193.751600    339.055900    50.951520
4509.74    202.530300    342.605800    51.062210
4514.05    215.809900    352.565500    49.790950
4518.36    234.184300    359.215400    48.553950
4522.67    190.359900    334.746300    49.184560
4526.98    198.234800    340.480600    53.666400
4531.29    254.772300    378.619000    54.742780
4535.60    209.591400    360.671600    56.603520
4539.91    229.062100    368.565000    54.014790
4544.22    265.263200    395.209100    56.033170
4548.53    267.586200    395.567400    55.469160
4552.84    236.634500    372.691900    53.743350
4557.16    203.296500    351.301900    53.502180
4561.47    208.935900    345.749400    50.675160
4565.78    236.633200    366.964800    47.387150
4570.09    221.603500    365.469000    50.109550
4574.40    227.202500    360.819000    51.918120
4578.71    255.918500    373.226700    53.200280
4583.02    252.682100    376.104200    52.517720
4587.33    231.424800    371.180300    54.455750
4591.64    233.613700    372.080600    55.455000
4595.95    238.880700    367.268500    51.448910
4600.26    244.596700    370.809900    52.332840
4604.57    255.443500    372.511200    49.630290
4608.88    254.467700    385.902100    51.309150
4613.19    252.814100    383.292600    54.216790
4617.50    236.547800    365.958700    52.952130
4621.81    277.409000    398.526600    52.807380
4626.12    272.111800    395.666000    53.656850
4630.43    273.982500    387.675500    52.590430
4634.75    284.710100    388.544500    49.525360
4639.06    273.416200    380.804000    48.808710
4643.37    262.113900    381.419700    49.531030
4647.68    226.775100    357.472700    48.820170
4651.99    256.068800    376.545900    50.484220
4656.30    294.091400    409.110900    52.112930
4660.61    303.995100    418.258400    58.738790
4664.92    300.382200    416.433200    59.294210
4669.23    309.315000    410.374900    54.537220
4673.54    312.833900    417.976800    57.804720
4677.85    299.628800    415.203000    57.606960
4682.16    338.220400    434.870600    56.433740
4686.47    308.523800    416.907000    56.266620
4690.78    327.879500    425.448900    53.229460
4695.09    331.904000    421.792300    51.229620
4699.40    349.324600    439.523300    55.197480
4703.71    337.235800    427.578300    53.474380
4708.02    321.054800    427.023900    55.371490
4712.33    323.008500    417.824200    53.419270
4716.65    277.536200    397.889800    57.903840
4720.96    278.644000    403.663300    60.246200
4725.27    295.591600    408.416300    54.714950
4729.58    321.768800    422.110900    54.278960
4733.89    310.506900    415.975300    56.476550
4738.20    324.527800    421.129700    58.659300
4742.51    326.106100    423.246900    56.559500
4746.82    337.422500    424.781200    54.736630
4751.13    329.170500    426.917800    55.771470
4755.44    354.532400    441.525000    55.537450
4759.75    358.072700    441.769400    55.083530
4764.06    364.090100    440.196100    51.825290
4768.37    307.120800    410.792100    52.476480
4772.68    293.217400    407.489500    54.792560
4776.99    357.533800    443.885600    53.529060
4781.30    368.370300    447.674900    54.395200
4785.61    337.884400    434.161900    56.974150
4789.92    353.288400    443.114400    57.092700
4794.24    375.731800    463.222400    57.210440
4798.55    388.804000    475.306100    59.815290
4802.86    370.416600    459.890400    59.898840
4807.17    365.014000    449.152400    58.750720
4811.48    415.897900    485.322700    58.822010
4815.79    375.419400    468.289700    63.068300
4820.10    414.934300    502.380900    65.827350
4824.41    398.241800    486.677800    67.835790
4828.72    407.459000    494.843700    65.765630
4833.03    399.516500    497.486600    65.046770
4837.34    340.784700    461.512000    63.011470
4841.65    351.580200    454.191700    61.294550
4845.96    366.837300    467.501800    66.306100
4850.27    358.655600    452.168700    57.240090
4854.58    392.858400    474.157000    57.545390
4858.89    356.991000    439.231800    54.257950
4863.20    306.293200    410.770500    54.734580
4867.51    347.206500    446.048600    53.065050
4871.83    344.893900    441.007100    54.712670
4876.14    367.598300    455.339800    56.632870
4880.45    364.584500    462.122500    57.921680
4884.76    382.082500    478.712600    60.048770
4889.07    397.234600    484.985600    58.278500
4893.38    328.375900    437.391800    60.983750
4897.69    320.473000    433.801600    63.156600
4902.00    336.466000    446.465800    62.075930
4906.31    379.643800    477.202800    62.097130
4910.62    407.561700    486.698400    59.475970
4914.93    396.180800    478.090100    62.788770
4919.24    393.950200    472.052900    56.043290
4923.55    362.126200    446.757900    59.757190
4927.86    420.219500    482.439100    55.649250
4932.17    390.725100    479.341900    60.244880
4936.48    400.395800    474.781800    56.933460
4940.79    441.662000    505.338000    64.117880
4945.10    410.153000    480.686500    58.048840
4949.42    412.765500    489.638600    63.376300
4953.73    410.465100    484.690200    62.705880
4958.04    414.406300    486.082700    60.561290
4962.35    402.584500    477.992800    60.516250
4966.66    419.515200    495.944500    63.766900
4970.97    393.691700    484.295200    63.850180
4975.28    405.543500    491.584400    64.315560
4979.59    429.825400    497.170100    62.629610
4983.90    421.856300    493.987500    59.630080
4988.21    432.807800    496.224200    59.965010
4992.52    429.672900    501.692600    61.930730
4996.83    414.390100    487.752000    63.545110
5001.14    442.238200    512.436800    63.006560
5005.45    448.433600    509.091000    66.379030
5009.76    433.095600    498.004900    59.496940
5014.07    423.895300    496.272200    60.306220
5018.38    424.579400    495.344100    60.032110
5022.69    449.503400    508.055300    60.038830
5027.00    453.684100    505.763500    61.283360
5031.32    454.289800    506.811700    61.458910
5035.63    449.329600    507.457500    61.710000
5039.94    419.058600    479.122500    60.606400
5044.25    442.236800    498.127600    57.845810
5048.56    435.022800    497.628600    58.999110
5052.87    440.113700    499.855200    61.621790
5057.18    452.615800    509.397900    61.831740
5061.49    418.012000    487.554900    63.335430
5065.80    398.500800    472.568100    64.298450
5070.11    386.076400    464.926900    60.385310
5074.42    415.739400    485.239800    62.164530
5078.73    431.085100    491.120900    59.064100
5083.04    451.859500    501.110100    59.267780
5087.35    432.102200    493.971600    60.383650
5091.66    407.576100    650.383400    65.584180
5095.97    445.930900    671.675800    62.006030
5100.28    520.613500    733.809200    61.716020
5104.59    502.086900    537.714100    64.154480
5108.91    468.062700    515.549000    62.755660
5113.22    458.523400    511.388200    64.122960
5117.53    423.455900    490.916100    64.387460
5121.84    465.718700    511.786000    61.252040
5126.15    449.555000    510.233800    65.100070
5130.46    450.731800    509.139400    65.500420
5134.77    499.470000    542.761600    66.833370
5139.08    523.375100    556.510900    63.670090
5143.39    464.150400    520.834400    66.137980
5147.70    442.303500    506.056900    71.243970
5152.01    500.928300    537.742500    67.128690
5156.32    492.088800    539.167300    71.976460
5160.63    499.553000    532.818200    66.390770
5164.94    500.851100    531.718100    61.793210
5169.25    489.064100    519.703900    60.161580
5173.56    453.016400    499.600100    63.309550
5177.87    470.504500    509.012000    63.331340
5182.18    517.828700    538.896700    62.155280
5186.50    500.180500    540.379400    65.893000
5190.81    464.888600    533.314000    73.080390
5195.12    457.739200    545.716100    81.674140
5199.43    454.809100    555.226700    91.048500
5203.74    483.608900    546.032200    79.152250
5208.05    504.339600    535.630000    65.746140
5212.36    449.296800    512.081200    68.804890
5216.67    468.485500    526.492900    69.440390
5220.98    469.488400    529.854400    75.627060
5225.29    420.861500    500.849400    71.890910
5229.60    426.332800    496.920700    67.431270
5233.91    484.039900    536.220300    72.886200
5238.22    508.012600    551.971300    72.495930
5242.53    491.485000    538.762600    72.329120
5246.84    472.127800    530.171300    71.953080
5251.15    461.396100    527.854400    75.473110
5255.46    467.113500    534.280900    77.588920
5259.77    464.421100    525.329000    74.698340
5264.08    481.410500    520.842500    66.726970
5268.40    525.716500    542.457100    65.710990
5272.71    536.187900    569.167500    69.995370
5277.02    533.218800    565.841500    72.496640
5281.33    506.420100    542.362700    68.997360
5285.64    499.932900    541.727800    63.904440
5289.95    497.900500    549.665300    71.497190
5294.26    459.721400    528.075400    77.209340
5298.57    484.211000    531.225100    73.326270
5302.88    527.336700    567.321000    74.288010
5307.19    521.792600    566.834500    73.455010
5311.50    506.900300    556.529800    77.652880
5315.81    502.347700    553.358800    75.725360
5320.12    475.966700    544.613600    78.222120
5324.43    475.784400    530.724200    72.465490
5328.74    468.885500    528.320800    74.934360
5333.05    475.641100    544.819300    77.045470
5337.36    503.019700    552.989600    74.482980
5341.67    483.005700    543.202400    73.080760
5345.99    479.056900    539.198700    70.080910
5350.30    474.293900    539.096000    72.501950
5354.61    448.564500    523.044400    76.040920
5358.92    489.242000    539.444100    74.177210
5363.23    520.000200    555.614400    68.435090
5367.54    478.177700    534.642600    68.260400
5371.85    507.965500    546.913600    72.083800
5376.16    495.046000    543.854600    72.485340
5380.47    451.004600    509.735700    69.090530
5384.78    384.446900    477.955800    74.824800
5389.09    399.326700    480.225900    72.099980
5393.40    424.804700    495.564900    71.974960
5397.71    432.718600    497.996600    67.953320
5402.02    431.827300    496.815600    70.282810
5406.33    448.814800    499.562900    68.562380
5410.64    506.202300    549.126300    73.080760
5414.95    506.643100    552.232200    71.749550
5419.26    478.274800    525.584400    72.671490
5423.58    478.995100    532.797400    73.534540
5427.89    478.647100    527.462100    69.147120
5432.20    481.621500    533.605800    71.343170
5436.51    497.115200    542.349300    73.613080
5440.82    537.549400    568.573300    73.843800
5445.13    528.701100    561.764200    72.720590
5449.44    505.127000    543.933300    73.382070
5453.75    537.426500    567.593300    77.532650
5458.06    551.306300    578.932400    79.383980
5462.37    549.218300    573.284000    77.177010
5466.68    532.463600    564.247300    76.834180
5470.99    554.181800    571.215700    74.810010
5475.30    565.728300    580.622600    75.202390
5479.61    556.981300    581.238200    73.499380
5483.92    496.198100    544.552700    77.348970
5488.23    460.575200    523.828200    78.155890
5492.54    527.609600    568.089100    75.238580
5496.85    590.570600    601.366700    78.684160
5501.17    560.040200    585.974100    82.221590
5505.48    588.872700    600.043600    79.260500
5509.79    607.335900    621.957500    83.334720
5514.10    605.897500    622.255300    82.702950
5518.41    585.626000    610.244600    83.812230
5522.72    537.748800    578.726000    84.597700
5527.03    621.762200    615.770200    77.552150
5531.34    667.785600    650.038000    82.860180
5535.65    654.350800    643.454300    83.025880
5539.96    637.167800    650.015100    89.815880
5544.27    568.828900    621.401000    96.858840
5548.58    551.767300    608.746400    93.650630
5552.89    565.500900    602.754500    86.256250
