#Regenerated by NED personnel from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [mJy]
 7315.900                   0.535200
 7324.520                   0.536200
 7333.140                   0.537300
 7341.760                   0.538300
 7350.390                   0.539300
 7359.010                   0.540300
 7367.590                   0.778400
 7376.250                   0.542400
 7384.940                   0.069300
 7393.640                  -0.403700
 7402.330                  -0.876800
 7411.030                  -1.349800
 7419.650                  -1.348800
 7428.270                  -1.347700
 7436.850                  -1.109700
 7445.320                  -0.160500
 7453.910                   0.077500
 7462.450                   0.552600
 7471.040                   0.790600
 7479.690                   0.554600
 7488.310                   0.555700
 7496.930                   0.556700
 7505.550                   0.557700
 7514.180                   0.558700
 7522.870                   0.085700
 7531.490                   0.086700
 7540.110                   0.087700
 7548.810                  -0.385300
 7557.390                  -0.147300
 7565.970                   0.090800
 7574.560                   0.328800
 7583.140                   0.566900
 7591.800                   0.330900
 7600.420                   0.331900
 7609.040                   0.332900
 7617.580                   0.808000
 7626.210                   0.809000
 7634.830                   0.810100
 7643.480                   0.574000
 7652.140                   0.338000
 7660.800                   0.102000
 7669.420                   0.103000
 7678.040                   0.104100
 7686.590                   0.579200
 7695.210                   0.580200
 7703.790                   0.818200
 7712.450                   0.582200
 7721.110                   0.346200
 7729.760                   0.110200
 7738.420                  -0.125800
 7747.150                  -0.835900
 7755.770                  -0.834900
 7764.280                  -0.122700
 7772.870                   0.115300
 7781.410                   0.590400
 7790.030                   0.591400
 7798.620                   0.829500
 7807.240                   0.830500
 7815.890                   0.594500
 7824.590                   0.121400
 7833.210                   0.122500
 7841.940                  -0.587600
 7850.560                  -0.586600
 7859.110                  -0.111500
 7867.690                   0.126600
 7876.240                   0.601600
 7884.860                   0.602700
 7893.440                   0.840700
 7901.990                   1.315800
 7910.530                   1.790900
 7919.080                   2.266000
 7927.700                   2.267000
 7936.320                   2.268000
 7944.980                   2.032000
 7953.600                   2.033000
 7962.260                   1.797000
 7970.950                   1.324000
 7979.570                   1.325000
 7988.230                   1.089000
 7996.850                   1.090000
 8005.470                   1.091000
 8014.130                   0.855000
 8022.790                   0.619000
 8031.440                   0.383000
 8040.060                   0.384000
 8048.610                   0.859100
 8057.190                   1.097200
 8065.780                   1.335200
 8074.290                   2.047300
 8082.910                   2.048300
 8091.560                   1.812300
 8100.220                   1.576300
 8108.950                   0.866300
 8117.610                   0.630200
 8126.270                   0.394200
 8134.960                  -0.078800
 8143.590                  -0.077800
 8152.170                   0.160300
 8160.710                   0.635300
 8169.340                   0.636400
 8177.960                   0.637400
 8186.580                   0.638400
 8195.200                   0.639400
 8203.820                   0.640500
 8212.480                   0.404500
 8221.130                   0.168400
 8229.790                  -0.067600
 8238.490                  -0.540600
 8247.030                  -0.065500
 8255.620                   0.172500
 8264.240                   0.173600
 8272.860                   0.174600
 8281.510                  -0.061400
 8290.020                   0.650700
 8298.490                   1.599800
 8306.710                   4.208200
 8314.880                   7.053600
 8322.940                  10.610100
 8331.230                  12.744500
 8339.330                  16.064000
 8347.800                  17.013100
 8356.530                  16.303000
 8365.380                  14.881800
 8374.110                  14.171800
 8383.100                  11.802500
 8391.760                  11.566400
 8400.570                  10.382300
 8409.260                   9.909300
 8417.990                   9.199200
 8426.690                   8.726200
 8435.420                   8.016100
 8444.110                   7.543000
 8452.850                   6.833000
 8461.540                   6.359900
 8470.160                   6.360900
 8478.780                   6.361900
 8487.400                   6.363000
 8495.950                   6.838000
 8504.530                   7.076100
 8513.040                   7.788200
 8521.630                   8.026300
 8530.250                   8.027300
 8538.900                   7.791300
 8547.600                   7.318200
 8556.260                   7.082200
 8564.880                   7.083200
 8573.460                   7.321300
 8582.040                   7.559400
 8590.590                   8.034500
 8599.170                   8.272500
 8607.760                   8.510600
 8616.340                   8.748600
 8625.030                   8.275600
 8633.690                   8.039600
 8642.350                   7.803600
 8650.970                   7.804600
 8659.410                   8.990800
 8667.730                  10.888000
 8676.240                  11.600200
 8684.630                  13.023400
 8693.220                  13.261400
 8701.840                  13.262500
 8710.720                  11.604300
 8719.900                   8.049800
 8728.930                   5.443400
 8738.180                   1.414900
 8747.060                  -0.243300
 8755.940                  -1.901500
 8764.600                  -2.137500
 8773.220                  -2.136500
 8781.800                  -1.898400
 8790.310                  -1.186300
 8798.890                  -0.948300
 8807.480                  -0.710200
 8816.020                  -0.235100
 8824.640                  -0.234100
 8833.260                  -0.233100
 8841.890                  -0.232100
 8850.540                  -0.468100
 8859.160                  -0.467000
 8867.820                  -0.703100
 8876.400                  -0.465000
 8885.030                  -0.464000
 8893.650                  -0.463000
