#Regenerated by NED personnel from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [mJy]
 2234.130                   3.956500
 2237.430                   3.729600
 2240.450                   1.806000
 2243.790                   1.805400
 2247.170                   2.031000
 2250.640                   2.822200
 2254.010                   3.047800
 2257.310                   2.820900
 2260.330                   0.897400
 2263.580                   0.331100
 2266.640                  -1.366400
 2269.640                  -3.403100
 2272.940                  -3.630000
 2276.280                  -3.630500
 2279.950                  -1.595100
 2283.880                   2.024100
 2287.280                   2.362800
 2290.650                   2.588400
 2293.750                   1.117300
 2296.730                  -1.032700
 2299.760                  -2.956200
 2302.870                  -4.314300
 2306.170                  -4.541100
 2309.550                  -4.315600
 2313.070                  -3.185000
 2316.610                  -1.941300
 2320.190                  -0.471500
 2323.550                  -0.358900
 2326.790                  -0.925200
 2330.080                  -1.265100
 2333.430                  -1.152700
 2337.120                   0.996000
 2340.610                   1.900300
 2343.950                   1.899600
 2347.210                   1.446600
 2350.550                   1.445900
 2354.090                   2.689600
 2357.430                   2.688900
 2360.750                   2.575300
 2364.030                   2.235200
 2366.980                  -0.141000
 2370.020                  -1.951400
 2373.300                  -2.291400
 2376.430                  -3.536300
 2379.740                  -3.763200
 2383.090                  -3.650700
 2386.630                  -2.407000
 2390.340                  -0.145200
 2393.680                  -0.145900
 2396.910                  -0.825300
 2400.040                  -2.070200
 2403.400                  -1.957700
 2406.740                  -1.958300
 2410.050                  -2.072100
 2413.240                  -2.977600
 2416.560                  -3.091400
 2419.860                  -3.318300
 2422.920                  -5.015700
 2426.240                  -5.129500
 2429.820                  -3.659500
 2433.570                  -1.171600
 2437.200                   0.637800
 2440.950                   3.125700
 2444.420                   3.916900
 2447.700                   3.576900
 2450.760                   1.879500
 2453.950                   0.973900
 2457.170                   0.294600
 2460.510                   0.294000
 2463.720                  -0.498500
 2466.980                  -0.951600
 2470.010                  -2.875200
 2473.200                  -3.780900
 2476.510                  -3.894600
 2479.890                  -3.669000
 2483.640                  -1.181000
 2487.200                   0.175800
 2490.550                   0.288300
 2493.850                   0.061400
 2496.900                  -1.749000
 2499.820                  -4.238300
 2502.920                  -5.709500
 2505.940                  -7.633100
 2509.240                  -7.860000
 2512.640                  -7.521200
 2516.010                  -7.295700
 2519.800                  -4.581400
 2523.520                  -2.206600
 2526.950                  -1.641700
 2531.090                   3.221800
 2534.430                   3.221200
 2537.690                   2.768100
 2540.750                   1.070700
 2543.790                  -0.739800
 2547.070                  -1.079800
 2550.170                  -2.550900
 2553.560                  -2.212300
 2557.050                  -1.308000
 2560.460                  -0.856100
 2563.990                   0.274400
 2567.440                   0.952600
 2570.770                   0.951900
 2574.040                   0.498800
 2577.250                  -0.293700
 2580.450                  -1.086200
 2583.810                  -0.973600
 2587.310                   0.043800
 2590.970                   1.966200
 2594.660                   4.114800
 2598.030                   4.340500
 2601.320                   4.000400
 2604.380                   2.303000
 2607.360                   0.153200
 2610.350                  -1.996800
 2613.630                  -2.336700
