;wave = wavelength (um)
;flux = flux (W/cm^2/um)
;stdev = standard deviation of flux measurement (W/cm^2/um)
;det = LWS detector number (0-9)
;line = LWS line number (0-9)
 
wave    flux         stdev           det   line
 83.4448  2.02435e-19  5.65948e-20      4      0
 83.5087  3.72294e-19  6.99445e-20      4      0
 83.5661  2.77542e-19  6.92508e-20      4      0
 83.6298  1.60336e-19  6.50807e-20      4      0
 83.6935  3.46744e-19  7.31749e-20      4      0
 83.7571  2.73359e-19  6.44772e-20      4      0
 83.8206  2.17458e-19  8.49613e-20      4      0
 83.8841  4.40649e-19  1.02252e-19      4      0
 83.9475  4.67655e-19  8.75671e-20      4      0
 84.0108  3.47098e-19  8.93975e-20      4      0
 84.0741  3.25431e-19  8.79432e-20      4      0
 84.1373  3.19310e-19  7.05352e-20      4      0
 84.2005  3.73101e-19  1.04374e-19      4      0
 84.2636  3.74753e-19  9.19045e-20      4      0
 84.3266  4.39882e-19  9.13406e-20      4      0
 84.3896  4.16810e-19  1.06066e-19      4      0
 84.4526  3.30692e-19  9.27068e-20      4      0
 84.5091  3.46504e-19  6.12244e-20      4      0
 84.5720  3.83105e-19  8.15027e-20      4      0
 84.6348  4.33229e-19  7.69160e-20      4      0
 84.6975  3.35393e-19  1.23503e-19      4      0
 98.5356  1.69837e-19  1.48281e-20      5      0
 98.6741  1.97218e-19  1.60390e-20      5      0
 98.8124  2.10445e-19  1.56369e-20      5      0
 98.9507  2.04735e-19  1.38595e-20      5      0
 99.0888  2.10666e-19  1.70617e-20      5      0
 99.2269  2.01637e-19  1.51966e-20      5      0
 99.3648  1.97384e-19  1.81392e-20      5      0
 99.5026  1.75790e-19  1.58925e-20      5      0
 99.6403  1.75775e-19  1.68504e-20      5      0
 99.7642  1.76293e-19  1.33473e-20      5      0
 99.9017  1.87411e-19  1.26595e-20      5      0
100.0391  1.68180e-19  1.48178e-20      5      0
100.1764  1.90937e-19  1.32048e-20      5      0
100.3137  2.05017e-19  1.46160e-20      5      0
100.4508  1.83171e-19  1.50193e-20      5      0
100.5878  1.80772e-19  1.37717e-20      5      0
100.7248  1.95145e-19  1.39312e-20      5      0
100.8616  1.82414e-19  1.22133e-20      5      0
100.9984  1.93190e-19  1.40463e-20      5      0
101.1351  1.92526e-19  1.57355e-20      5      0
101.2717  1.83345e-19  1.64596e-20      5      0
101.4082  2.06432e-19  1.75867e-20      5      0
101.5446  1.87137e-19  1.49432e-20      5      0
101.6673  1.63928e-19  1.41909e-20      5      0
101.8036  1.95442e-19  1.59513e-20      5      0
101.9398  2.02478e-19  1.76114e-20      5      0
102.0759  1.82625e-19  1.26247e-20      5      0
102.2119  1.64673e-19  2.54579e-20      5      0
118.3314  1.03668e-19  7.04060e-21      6      0
118.4699  9.40545e-20  5.62522e-21      6      0
118.6082  1.06432e-19  5.55660e-21      6      0
118.7464  1.01458e-19  5.16028e-21      6      0
118.8845  9.58926e-20  3.99859e-21      6      0
119.0225  9.57387e-20  5.09065e-21      6      0
119.1604  1.10043e-19  6.09022e-21      6      0
119.2981  9.85953e-20  5.10678e-21      6      0
119.4357  9.96350e-20  4.90538e-21      6      0
119.5595  1.02789e-19  5.91904e-21      6      0
119.6969  9.72026e-20  4.30511e-21      6      0
119.8342  9.68803e-20  4.43582e-21      6      0
119.9714  9.78025e-20  4.39295e-21      6      0
120.1085  1.05874e-19  4.95933e-21      6      0
120.2454  1.05221e-19  4.71438e-21      6      0
120.3823  9.78711e-20  4.58682e-21      6      0
120.5191  1.03741e-19  5.62744e-21      6      0
120.6557  1.06135e-19  5.52567e-21      6      0
120.7923  1.03525e-19  6.18261e-21      6      0
