#Wavelength         Spectrum        Cont-Subtr-Spectrum           Error           Mask
#[Angstrom]  [1.0E-17 erg/s/cm^2/A] [1.0E-17 erg/s/cm^2/A] [1.0E-17 erg/s/cm^2/A] [Bit Array]
3922.83            42.556500            -4.776493               3.824969                0
3923.74            48.093000             0.727287               4.131702                0
3924.64            41.032400            -6.367321               4.040079                0
3925.55            56.061100             8.628708               4.126191                0
3926.45            49.191200             1.695297               3.921629                0
3927.35            45.142100            -2.413948               3.813321                0
3928.26            52.905000             5.334637               3.841948                0
3929.16            50.344300             2.710861               3.786095                0
3930.07            41.329600            -6.327930               3.669444                0
3930.97            49.226700             1.569168               3.775521                0
3931.88            51.702900             4.045368               3.798971                0
3932.78            44.584000            -3.134193               3.654828                0
3933.69            44.414400            -3.365852               3.614435                0
3934.59            48.236500             0.456249               3.646499                0
3935.50            47.678200            -0.123310               3.646649                0
3936.41            52.979700             5.119251               3.704349                0
3937.31            55.025300             7.134377               3.782264                0
3938.22            49.829900             1.888767               3.814136                0
3939.13            50.646000             2.729721               3.942505                0
3940.03            47.059700            -0.853378               3.938119                0
3940.94            45.011200            -2.932770               3.917101                0
3941.85            43.155500            -4.812649               3.858709                0
3942.76            44.032700            -3.959297               3.821861                0
3943.66            47.077800            -0.942932               3.846086                0
3944.57            46.677500            -1.366047               3.791803                0
3945.48            46.546600            -1.522934               3.740157                0
3946.39            48.706500             0.614574               3.747914                0
3947.30            46.223600            -1.873692               3.754692                0
3948.21            39.876700            -8.196457               3.682446                0
3949.12            41.465100            -6.620380               3.679239                0
3950.03            35.192000            -12.914980               3.583629                0
3950.94            43.191700            -4.906143               3.671655                0
3951.85            33.999100            -14.122470               3.534134                0
3952.76            38.934800            -9.208256               3.589458                0
3953.67            35.675800            -12.490940               3.517829                0
3954.58            32.863500            -15.291830               3.471898                0
3955.49            30.682700            -17.427250               3.453188                0
3956.40            22.333200            -25.759780               3.387282                0
3957.31            26.236300            -21.901240               3.460533                0
3958.22            33.627900            -14.554180               3.636465                0
3959.13            43.529700            -4.652374               3.780987                0
3960.04            41.221100            -6.960976               3.744108                0
3960.96            44.031700            -4.126667               3.775572                0
3961.87            44.943100            -3.171745               3.750522                0
3962.78            44.302600            -3.855766               3.705399                0
3963.69            39.206900            -8.919277               3.669887                0
3964.61            37.509900            -10.646530               3.665427                0
3965.52            41.769900            -6.386532               3.741308                0
3966.43            38.580500            -9.533203               3.770354                0
